,datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable,timedate,Hour,Day,Month,Year
8102,1/31/2016 21:00,1/31/2016 16:00,Other Renewables,548.7,0,TRUE,1/31/2016 16:00,16,31,1,2016
8103,1/31/2016 21:00,1/31/2016 16:00,Solar,2.4,0,TRUE,1/31/2016 16:00,16,31,1,2016
8105,1/31/2016 21:00,1/31/2016 16:00,Wind,2872.2,0.04,TRUE,1/31/2016 16:00,16,31,1,2016
8109,1/31/2016 22:00,1/31/2016 17:00,Hydro,1200.2,0.02,TRUE,1/31/2016 17:00,17,31,1,2016
8113,1/31/2016 22:00,1/31/2016 17:00,Other Renewables,547.1,0,TRUE,1/31/2016 17:00,17,31,1,2016
8114,1/31/2016 22:00,1/31/2016 17:00,Solar,2.4,0,TRUE,1/31/2016 17:00,17,31,1,2016
8116,1/31/2016 22:00,1/31/2016 17:00,Wind,3115,0.04,TRUE,1/31/2016 17:00,17,31,1,2016
8121,1/31/2016 23:00,1/31/2016 18:00,Hydro,893.1,0.01,TRUE,1/31/2016 18:00,18,31,1,2016
8125,1/31/2016 23:00,1/31/2016 18:00,Other Renewables,540.4,0,TRUE,1/31/2016 18:00,18,31,1,2016
8126,1/31/2016 23:00,1/31/2016 18:00,Solar,2.4,0,TRUE,1/31/2016 18:00,18,31,1,2016
8128,1/31/2016 23:00,1/31/2016 18:00,Wind,3162.8,0.04,TRUE,1/31/2016 18:00,18,31,1,2016
8131,2/1/2016 0:00,1/31/2016 19:00,Hydro,749.9,0.01,TRUE,1/31/2016 19:00,19,31,1,2016
8135,2/1/2016 0:00,1/31/2016 19:00,Other Renewables,526.4,0,TRUE,1/31/2016 19:00,19,31,1,2016
8136,2/1/2016 0:00,1/31/2016 19:00,Solar,2.4,0,TRUE,1/31/2016 19:00,19,31,1,2016
8138,2/1/2016 0:00,1/31/2016 19:00,Wind,3514.5,0.04,TRUE,1/31/2016 19:00,19,31,1,2016
8143,2/1/2016 1:00,1/31/2016 20:00,Hydro,365.8,0,TRUE,1/31/2016 20:00,20,31,1,2016
8145,2/1/2016 1:00,1/31/2016 20:00,Wind,3700.5,0.04,TRUE,1/31/2016 20:00,20,31,1,2016
8147,2/1/2016 1:00,1/31/2016 20:00,Other Renewables,499.1,0,TRUE,1/31/2016 20:00,20,31,1,2016
8148,2/1/2016 1:00,1/31/2016 20:00,Solar,2.4,0,TRUE,1/31/2016 20:00,20,31,1,2016
8154,2/1/2016 2:00,1/31/2016 21:00,Hydro,393.5,0,TRUE,1/31/2016 21:00,21,31,1,2016
8156,2/1/2016 2:00,1/31/2016 21:00,Wind,3748.5,0.05,TRUE,1/31/2016 21:00,21,31,1,2016
8158,2/1/2016 2:00,1/31/2016 21:00,Other Renewables,498.5,0,TRUE,1/31/2016 21:00,21,31,1,2016
8159,2/1/2016 2:00,1/31/2016 21:00,Solar,2.4,0,TRUE,1/31/2016 21:00,21,31,1,2016
8164,2/1/2016 3:00,1/31/2016 22:00,Hydro,365.6,0,TRUE,1/31/2016 22:00,22,31,1,2016
8168,2/1/2016 3:00,1/31/2016 22:00,Other Renewables,492.2,0,TRUE,1/31/2016 22:00,22,31,1,2016
8169,2/1/2016 3:00,1/31/2016 22:00,Solar,2.3,0,TRUE,1/31/2016 22:00,22,31,1,2016
8171,2/1/2016 3:00,1/31/2016 22:00,Wind,3807.7,0.05,TRUE,1/31/2016 22:00,22,31,1,2016
8176,2/1/2016 4:00,1/31/2016 23:00,Hydro,404.4,0.01,TRUE,1/31/2016 23:00,23,31,1,2016
8178,2/1/2016 4:00,1/31/2016 23:00,Wind,3591.4,0.05,TRUE,1/31/2016 23:00,23,31,1,2016
8182,2/1/2016 4:00,1/31/2016 23:00,Other Renewables,490.6,0,TRUE,1/31/2016 23:00,23,31,1,2016
8183,2/1/2016 4:00,1/31/2016 23:00,Solar,2.3,0,TRUE,1/31/2016 23:00,23,31,1,2016
8186,2/1/2016 5:00,2/1/2016 0:00,Hydro,290.8,0,TRUE,2/1/2016 0:00,0,1,2,2016
8190,2/1/2016 5:00,2/1/2016 0:00,Other Renewables,490.7,0,TRUE,2/1/2016 0:00,0,1,2,2016
8191,2/1/2016 5:00,2/1/2016 0:00,Solar,2.3,0,TRUE,2/1/2016 0:00,0,1,2,2016
8193,2/1/2016 5:00,2/1/2016 0:00,Wind,3307.9,0.04,TRUE,2/1/2016 0:00,0,1,2,2016
8197,2/1/2016 6:00,2/1/2016 1:00,Hydro,240.5,0,TRUE,2/1/2016 1:00,1,1,2,2016
8201,2/1/2016 6:00,2/1/2016 1:00,Other Renewables,472.6,0,TRUE,2/1/2016 1:00,1,1,2,2016
8202,2/1/2016 6:00,2/1/2016 1:00,Solar,2.3,0,TRUE,2/1/2016 1:00,1,1,2,2016
8204,2/1/2016 6:00,2/1/2016 1:00,Wind,2960.7,0.04,TRUE,2/1/2016 1:00,1,1,2,2016
8208,2/1/2016 7:00,2/1/2016 2:00,Hydro,306.9,0,TRUE,2/1/2016 2:00,2,1,2,2016
8212,2/1/2016 7:00,2/1/2016 2:00,Other Renewables,476.2,0,TRUE,2/1/2016 2:00,2,1,2,2016
8213,2/1/2016 7:00,2/1/2016 2:00,Solar,2.4,0,TRUE,2/1/2016 2:00,2,1,2,2016
8215,2/1/2016 7:00,2/1/2016 2:00,Wind,2772,0.04,TRUE,2/1/2016 2:00,2,1,2,2016
8220,2/1/2016 8:00,2/1/2016 3:00,Hydro,280.1,0,TRUE,2/1/2016 3:00,3,1,2,2016
8222,2/1/2016 8:00,2/1/2016 3:00,Wind,2636.6,0.04,TRUE,2/1/2016 3:00,3,1,2,2016
8226,2/1/2016 8:00,2/1/2016 3:00,Other Renewables,497.3,0,TRUE,2/1/2016 3:00,3,1,2,2016
8227,2/1/2016 8:00,2/1/2016 3:00,Solar,2.4,0,TRUE,2/1/2016 3:00,3,1,2,2016
8230,2/1/2016 9:00,2/1/2016 4:00,Hydro,334.7,0,TRUE,2/1/2016 4:00,4,1,2,2016
8234,2/1/2016 9:00,2/1/2016 4:00,Other Renewables,508.8,0,TRUE,2/1/2016 4:00,4,1,2,2016
8235,2/1/2016 9:00,2/1/2016 4:00,Solar,2.4,0,TRUE,2/1/2016 4:00,4,1,2,2016
8237,2/1/2016 9:00,2/1/2016 4:00,Wind,2336,0.03,TRUE,2/1/2016 4:00,4,1,2,2016
8241,2/1/2016 10:00,2/1/2016 5:00,Hydro,378,0,TRUE,2/1/2016 5:00,5,1,2,2016
8245,2/1/2016 10:00,2/1/2016 5:00,Other Renewables,519.7,0,TRUE,2/1/2016 5:00,5,1,2,2016
8246,2/1/2016 10:00,2/1/2016 5:00,Solar,2.4,0,TRUE,2/1/2016 5:00,5,1,2,2016
8248,2/1/2016 10:00,2/1/2016 5:00,Wind,1850,0.02,TRUE,2/1/2016 5:00,5,1,2,2016
8252,2/1/2016 11:00,2/1/2016 6:00,Hydro,793,0.01,TRUE,2/1/2016 6:00,6,1,2,2016
8256,2/1/2016 11:00,2/1/2016 6:00,Other Renewables,510.4,0,TRUE,2/1/2016 6:00,6,1,2,2016
8257,2/1/2016 11:00,2/1/2016 6:00,Solar,2.4,0,TRUE,2/1/2016 6:00,6,1,2,2016
8259,2/1/2016 11:00,2/1/2016 6:00,Wind,1486.9,0.02,TRUE,2/1/2016 6:00,6,1,2,2016
8263,2/1/2016 12:00,2/1/2016 7:00,Hydro,918.2,0.01,TRUE,2/1/2016 7:00,7,1,2,2016
8267,2/1/2016 12:00,2/1/2016 7:00,Other Renewables,512.4,0,TRUE,2/1/2016 7:00,7,1,2,2016
8268,2/1/2016 12:00,2/1/2016 7:00,Wind,1347.2,0.02,TRUE,2/1/2016 7:00,7,1,2,2016
8270,2/1/2016 12:00,2/1/2016 7:00,Solar,2.4,0,TRUE,2/1/2016 7:00,7,1,2,2016
8274,2/1/2016 13:00,2/1/2016 8:00,Hydro,1000.6,0.01,TRUE,2/1/2016 8:00,8,1,2,2016
8277,2/1/2016 13:00,2/1/2016 8:00,Other Renewables,529,0,TRUE,2/1/2016 8:00,8,1,2,2016
8278,2/1/2016 13:00,2/1/2016 8:00,Solar,10.6,0,TRUE,2/1/2016 8:00,8,1,2,2016
8280,2/1/2016 13:00,2/1/2016 8:00,Wind,967.1,0.01,TRUE,2/1/2016 8:00,8,1,2,2016
8286,2/1/2016 14:00,2/1/2016 9:00,Hydro,604.4,0.01,TRUE,2/1/2016 9:00,9,1,2,2016
8289,2/1/2016 14:00,2/1/2016 9:00,Other Renewables,529.4,0,TRUE,2/1/2016 9:00,9,1,2,2016
8290,2/1/2016 14:00,2/1/2016 9:00,Solar,18.7,0,TRUE,2/1/2016 9:00,9,1,2,2016
8292,2/1/2016 14:00,2/1/2016 9:00,Wind,527.4,0.01,TRUE,2/1/2016 9:00,9,1,2,2016
8296,2/1/2016 15:00,2/1/2016 10:00,Hydro,521.2,0.01,TRUE,2/1/2016 10:00,10,1,2,2016
8300,2/1/2016 15:00,2/1/2016 10:00,Other Renewables,536.5,0,TRUE,2/1/2016 10:00,10,1,2,2016
8301,2/1/2016 15:00,2/1/2016 10:00,Solar,29.4,0,TRUE,2/1/2016 10:00,10,1,2,2016
8303,2/1/2016 15:00,2/1/2016 10:00,Wind,566,0.01,TRUE,2/1/2016 10:00,10,1,2,2016
8307,2/1/2016 16:00,2/1/2016 11:00,Hydro,390,0,TRUE,2/1/2016 11:00,11,1,2,2016
8311,2/1/2016 16:00,2/1/2016 11:00,Other Renewables,531.6,0,TRUE,2/1/2016 11:00,11,1,2,2016
8312,2/1/2016 16:00,2/1/2016 11:00,Solar,38.2,0,TRUE,2/1/2016 11:00,11,1,2,2016
8314,2/1/2016 16:00,2/1/2016 11:00,Wind,352.4,0,TRUE,2/1/2016 11:00,11,1,2,2016
8318,2/1/2016 17:00,2/1/2016 12:00,Hydro,415.4,0,TRUE,2/1/2016 12:00,12,1,2,2016
8323,2/1/2016 17:00,2/1/2016 12:00,Other Renewables,533.2,0,TRUE,2/1/2016 12:00,12,1,2,2016
8324,2/1/2016 17:00,2/1/2016 12:00,Solar,27.6,0,TRUE,2/1/2016 12:00,12,1,2,2016
8326,2/1/2016 17:00,2/1/2016 12:00,Wind,333,0,TRUE,2/1/2016 12:00,12,1,2,2016
8329,2/1/2016 18:00,2/1/2016 13:00,Hydro,296.9,0,TRUE,2/1/2016 13:00,13,1,2,2016
8332,2/1/2016 18:00,2/1/2016 13:00,Wind,225.7,0,TRUE,2/1/2016 13:00,13,1,2,2016
8334,2/1/2016 18:00,2/1/2016 13:00,Other Renewables,541.4,0,TRUE,2/1/2016 13:00,13,1,2,2016
8335,2/1/2016 18:00,2/1/2016 13:00,Solar,20.1,0,TRUE,2/1/2016 13:00,13,1,2,2016
8341,2/1/2016 19:00,2/1/2016 14:00,Hydro,290.7,0,TRUE,2/1/2016 14:00,14,1,2,2016
8343,2/1/2016 19:00,2/1/2016 14:00,Wind,131.5,0,TRUE,2/1/2016 14:00,14,1,2,2016
8345,2/1/2016 19:00,2/1/2016 14:00,Other Renewables,565.8,0,TRUE,2/1/2016 14:00,14,1,2,2016
8346,2/1/2016 19:00,2/1/2016 14:00,Solar,15,0,TRUE,2/1/2016 14:00,14,1,2,2016
8351,2/1/2016 20:00,2/1/2016 15:00,Hydro,378.4,0,TRUE,2/1/2016 15:00,15,1,2,2016
8355,2/1/2016 20:00,2/1/2016 15:00,Other Renewables,577.4,0,TRUE,2/1/2016 15:00,15,1,2,2016
8356,2/1/2016 20:00,2/1/2016 15:00,Solar,7.1,0,TRUE,2/1/2016 15:00,15,1,2,2016
8358,2/1/2016 20:00,2/1/2016 15:00,Wind,280.1,0,TRUE,2/1/2016 15:00,15,1,2,2016
8363,2/1/2016 21:00,2/1/2016 16:00,Hydro,402.9,0,TRUE,2/1/2016 16:00,16,1,2,2016
8365,2/1/2016 21:00,2/1/2016 16:00,Wind,207,0,TRUE,2/1/2016 16:00,16,1,2,2016
8369,2/1/2016 21:00,2/1/2016 16:00,Other Renewables,572.6,0,TRUE,2/1/2016 16:00,16,1,2,2016
8370,2/1/2016 21:00,2/1/2016 16:00,Solar,4.8,0,TRUE,2/1/2016 16:00,16,1,2,2016
8373,2/1/2016 22:00,2/1/2016 17:00,Hydro,1283.5,0.01,TRUE,2/1/2016 17:00,17,1,2,2016
8377,2/1/2016 22:00,2/1/2016 17:00,Other Renewables,587.7,0,TRUE,2/1/2016 17:00,17,1,2,2016
8378,2/1/2016 22:00,2/1/2016 17:00,Solar,0,0,TRUE,2/1/2016 17:00,17,1,2,2016
8380,2/1/2016 22:00,2/1/2016 17:00,Wind,303.3,0,TRUE,2/1/2016 17:00,17,1,2,2016
8384,2/1/2016 23:00,2/1/2016 18:00,Hydro,1255.5,0.01,TRUE,2/1/2016 18:00,18,1,2,2016
8388,2/1/2016 23:00,2/1/2016 18:00,Other Renewables,603.3,0,TRUE,2/1/2016 18:00,18,1,2,2016
8389,2/1/2016 23:00,2/1/2016 18:00,Solar,0,0,TRUE,2/1/2016 18:00,18,1,2,2016
8391,2/1/2016 23:00,2/1/2016 18:00,Wind,317.8,0,TRUE,2/1/2016 18:00,18,1,2,2016
8395,2/2/2016 0:00,2/1/2016 19:00,Hydro,969.2,0.01,TRUE,2/1/2016 19:00,19,1,2,2016
8399,2/2/2016 0:00,2/1/2016 19:00,Other Renewables,584.4,0,TRUE,2/1/2016 19:00,19,1,2,2016
8400,2/2/2016 0:00,2/1/2016 19:00,Solar,0,0,TRUE,2/1/2016 19:00,19,1,2,2016
8402,2/2/2016 0:00,2/1/2016 19:00,Wind,300.9,0,TRUE,2/1/2016 19:00,19,1,2,2016
8407,2/2/2016 1:00,2/1/2016 20:00,Hydro,374.3,0,TRUE,2/1/2016 20:00,20,1,2,2016
8409,2/2/2016 1:00,2/1/2016 20:00,Wind,308.8,0,TRUE,2/1/2016 20:00,20,1,2,2016
8413,2/2/2016 1:00,2/1/2016 20:00,Other Renewables,582.7,0,TRUE,2/1/2016 20:00,20,1,2,2016
8414,2/2/2016 1:00,2/1/2016 20:00,Solar,0,0,TRUE,2/1/2016 20:00,20,1,2,2016
8417,2/2/2016 2:00,2/1/2016 21:00,Hydro,587.2,0.01,TRUE,2/1/2016 21:00,21,1,2,2016
8421,2/2/2016 2:00,2/1/2016 21:00,Other Renewables,585.3,0,TRUE,2/1/2016 21:00,21,1,2,2016
8422,2/2/2016 2:00,2/1/2016 21:00,Solar,0,0,TRUE,2/1/2016 21:00,21,1,2,2016
8424,2/2/2016 2:00,2/1/2016 21:00,Wind,529,0.01,TRUE,2/1/2016 21:00,21,1,2,2016
8428,2/2/2016 3:00,2/1/2016 22:00,Hydro,461.4,0.01,TRUE,2/1/2016 22:00,22,1,2,2016
8432,2/2/2016 3:00,2/1/2016 22:00,Wind,662,0.01,TRUE,2/1/2016 22:00,22,1,2,2016
8435,2/2/2016 3:00,2/1/2016 22:00,Other Renewables,572,0,TRUE,2/1/2016 22:00,22,1,2,2016
8436,2/2/2016 3:00,2/1/2016 22:00,Solar,0,0,TRUE,2/1/2016 22:00,22,1,2,2016
8439,2/2/2016 4:00,2/1/2016 23:00,Hydro,468,0.01,TRUE,2/1/2016 23:00,23,1,2,2016
8443,2/2/2016 4:00,2/1/2016 23:00,Other Renewables,567.3,0,TRUE,2/1/2016 23:00,23,1,2,2016
8444,2/2/2016 4:00,2/1/2016 23:00,Solar,0,0,TRUE,2/1/2016 23:00,23,1,2,2016
8446,2/2/2016 4:00,2/1/2016 23:00,Wind,490.7,0.01,TRUE,2/1/2016 23:00,23,1,2,2016
8450,2/2/2016 5:00,2/2/2016 0:00,Hydro,685.2,0.01,TRUE,2/2/2016 0:00,0,2,2,2016
8454,2/2/2016 5:00,2/2/2016 0:00,Wind,617.7,0.01,TRUE,2/2/2016 0:00,0,2,2,2016
8457,2/2/2016 5:00,2/2/2016 0:00,Other Renewables,614.1,0.01,TRUE,2/2/2016 0:00,0,2,2,2016
8458,2/2/2016 5:00,2/2/2016 0:00,Solar,0,0,TRUE,2/2/2016 0:00,0,2,2,2016
8461,2/2/2016 6:00,2/2/2016 1:00,Hydro,655.6,0.01,TRUE,2/2/2016 1:00,1,2,2,2016
8465,2/2/2016 6:00,2/2/2016 1:00,Other Renewables,617.3,0.01,TRUE,2/2/2016 1:00,1,2,2,2016
8466,2/2/2016 6:00,2/2/2016 1:00,Solar,0,0,TRUE,2/2/2016 1:00,1,2,2,2016
8468,2/2/2016 6:00,2/2/2016 1:00,Wind,1046.6,0.01,TRUE,2/2/2016 1:00,1,2,2,2016
8472,2/2/2016 7:00,2/2/2016 2:00,Hydro,685.8,0.01,TRUE,2/2/2016 2:00,2,2,2,2016
8476,2/2/2016 7:00,2/2/2016 2:00,Other Renewables,629.7,0.01,TRUE,2/2/2016 2:00,2,2,2,2016
8477,2/2/2016 7:00,2/2/2016 2:00,Solar,0,0,TRUE,2/2/2016 2:00,2,2,2,2016
8479,2/2/2016 7:00,2/2/2016 2:00,Wind,1155.8,0.02,TRUE,2/2/2016 2:00,2,2,2,2016
8483,2/2/2016 8:00,2/2/2016 3:00,Hydro,671.8,0.01,TRUE,2/2/2016 3:00,3,2,2,2016
8487,2/2/2016 8:00,2/2/2016 3:00,Other Renewables,623,0.01,TRUE,2/2/2016 3:00,3,2,2,2016
8488,2/2/2016 8:00,2/2/2016 3:00,Solar,0,0,TRUE,2/2/2016 3:00,3,2,2,2016
8490,2/2/2016 8:00,2/2/2016 3:00,Wind,1351.1,0.02,TRUE,2/2/2016 3:00,3,2,2,2016
8495,2/2/2016 9:00,2/2/2016 4:00,Hydro,709.5,0.01,TRUE,2/2/2016 4:00,4,2,2,2016
8499,2/2/2016 9:00,2/2/2016 4:00,Other Renewables,610.4,0.01,TRUE,2/2/2016 4:00,4,2,2,2016
8500,2/2/2016 9:00,2/2/2016 4:00,Solar,0,0,TRUE,2/2/2016 4:00,4,2,2,2016
8502,2/2/2016 9:00,2/2/2016 4:00,Wind,1755.7,0.02,TRUE,2/2/2016 4:00,4,2,2,2016
8505,2/2/2016 10:00,2/2/2016 5:00,Hydro,1260.6,0.02,TRUE,2/2/2016 5:00,5,2,2,2016
8509,2/2/2016 10:00,2/2/2016 5:00,Other Renewables,609.5,0.01,TRUE,2/2/2016 5:00,5,2,2,2016
8510,2/2/2016 10:00,2/2/2016 5:00,Solar,0,0,TRUE,2/2/2016 5:00,5,2,2,2016
8512,2/2/2016 10:00,2/2/2016 5:00,Wind,2477.5,0.03,TRUE,2/2/2016 5:00,5,2,2,2016
8517,2/2/2016 11:00,2/2/2016 6:00,Hydro,4362.1,0.05,TRUE,2/2/2016 6:00,6,2,2,2016
8519,2/2/2016 11:00,2/2/2016 6:00,Wind,2804.6,0.03,TRUE,2/2/2016 6:00,6,2,2,2016
8521,2/2/2016 11:00,2/2/2016 6:00,Other Renewables,615.2,0,TRUE,2/2/2016 6:00,6,2,2,2016
8522,2/2/2016 11:00,2/2/2016 6:00,Solar,0,0,TRUE,2/2/2016 6:00,6,2,2,2016
8528,2/2/2016 12:00,2/2/2016 7:00,Hydro,4752.4,0.05,TRUE,2/2/2016 7:00,7,2,2,2016
8530,2/2/2016 12:00,2/2/2016 7:00,Wind,3340.6,0.03,TRUE,2/2/2016 7:00,7,2,2,2016
8532,2/2/2016 12:00,2/2/2016 7:00,Other Renewables,622.5,0,TRUE,2/2/2016 7:00,7,2,2,2016
8533,2/2/2016 12:00,2/2/2016 7:00,Solar,0,0,TRUE,2/2/2016 7:00,7,2,2,2016
8538,2/2/2016 13:00,2/2/2016 8:00,Hydro,3496.1,0.04,TRUE,2/2/2016 8:00,8,2,2,2016
8542,2/2/2016 13:00,2/2/2016 8:00,Other Renewables,630.4,0,TRUE,2/2/2016 8:00,8,2,2,2016
8543,2/2/2016 13:00,2/2/2016 8:00,Solar,13.8,0,TRUE,2/2/2016 8:00,8,2,2,2016
8545,2/2/2016 13:00,2/2/2016 8:00,Wind,3573,0.04,TRUE,2/2/2016 8:00,8,2,2,2016
8550,2/2/2016 14:00,2/2/2016 9:00,Hydro,2609.8,0.03,TRUE,2/2/2016 9:00,9,2,2,2016
8552,2/2/2016 14:00,2/2/2016 9:00,Wind,3916.9,0.04,TRUE,2/2/2016 9:00,9,2,2,2016
8556,2/2/2016 14:00,2/2/2016 9:00,Other Renewables,628.7,0,TRUE,2/2/2016 9:00,9,2,2,2016
8557,2/2/2016 14:00,2/2/2016 9:00,Solar,44.3,0,TRUE,2/2/2016 9:00,9,2,2,2016
8560,2/2/2016 15:00,2/2/2016 10:00,Hydro,1988.5,0.02,TRUE,2/2/2016 10:00,10,2,2,2016
8564,2/2/2016 15:00,2/2/2016 10:00,Other Renewables,630.6,0,TRUE,2/2/2016 10:00,10,2,2,2016
8565,2/2/2016 15:00,2/2/2016 10:00,Solar,56.1,0,TRUE,2/2/2016 10:00,10,2,2,2016
8567,2/2/2016 15:00,2/2/2016 10:00,Wind,4080.5,0.05,TRUE,2/2/2016 10:00,10,2,2,2016
8571,2/2/2016 16:00,2/2/2016 11:00,Hydro,1274.7,0.01,TRUE,2/2/2016 11:00,11,2,2,2016
8575,2/2/2016 16:00,2/2/2016 11:00,Other Renewables,628.3,0,TRUE,2/2/2016 11:00,11,2,2,2016
8576,2/2/2016 16:00,2/2/2016 11:00,Solar,60.3,0,TRUE,2/2/2016 11:00,11,2,2,2016
8578,2/2/2016 16:00,2/2/2016 11:00,Wind,4122.1,0.05,TRUE,2/2/2016 11:00,11,2,2,2016
8582,2/2/2016 17:00,2/2/2016 12:00,Hydro,907.2,0.01,TRUE,2/2/2016 12:00,12,2,2,2016
8586,2/2/2016 17:00,2/2/2016 12:00,Other Renewables,627.5,0.01,TRUE,2/2/2016 12:00,12,2,2,2016
8587,2/2/2016 17:00,2/2/2016 12:00,Solar,61.8,0,TRUE,2/2/2016 12:00,12,2,2,2016
8589,2/2/2016 17:00,2/2/2016 12:00,Wind,4019.6,0.05,TRUE,2/2/2016 12:00,12,2,2,2016
8594,2/2/2016 18:00,2/2/2016 13:00,Hydro,665.3,0.01,TRUE,2/2/2016 13:00,13,2,2,2016
8596,2/2/2016 18:00,2/2/2016 13:00,Wind,4085.4,0.05,TRUE,2/2/2016 13:00,13,2,2,2016
8600,2/2/2016 18:00,2/2/2016 13:00,Other Renewables,629.2,0.01,TRUE,2/2/2016 13:00,13,2,2,2016
8601,2/2/2016 18:00,2/2/2016 13:00,Solar,59.1,0,TRUE,2/2/2016 13:00,13,2,2,2016
8604,2/2/2016 19:00,2/2/2016 14:00,Hydro,683.9,0.01,TRUE,2/2/2016 14:00,14,2,2,2016
8608,2/2/2016 19:00,2/2/2016 14:00,Other Renewables,631.2,0.01,TRUE,2/2/2016 14:00,14,2,2,2016
8609,2/2/2016 19:00,2/2/2016 14:00,Solar,51.9,0,TRUE,2/2/2016 14:00,14,2,2,2016
8611,2/2/2016 19:00,2/2/2016 14:00,Wind,4049.2,0.05,TRUE,2/2/2016 14:00,14,2,2,2016
8615,2/2/2016 20:00,2/2/2016 15:00,Hydro,967.5,0.01,TRUE,2/2/2016 15:00,15,2,2,2016
8619,2/2/2016 20:00,2/2/2016 15:00,Other Renewables,627.7,0.01,TRUE,2/2/2016 15:00,15,2,2,2016
8620,2/2/2016 20:00,2/2/2016 15:00,Solar,37,0,TRUE,2/2/2016 15:00,15,2,2,2016
8622,2/2/2016 20:00,2/2/2016 15:00,Wind,3925.1,0.05,TRUE,2/2/2016 15:00,15,2,2,2016
8626,2/2/2016 21:00,2/2/2016 16:00,Hydro,1606.1,0.02,TRUE,2/2/2016 16:00,16,2,2,2016
8630,2/2/2016 21:00,2/2/2016 16:00,Other Renewables,638.9,0.01,TRUE,2/2/2016 16:00,16,2,2,2016
8631,2/2/2016 21:00,2/2/2016 16:00,Solar,5.6,0,TRUE,2/2/2016 16:00,16,2,2,2016
8633,2/2/2016 21:00,2/2/2016 16:00,Wind,3922.9,0.05,TRUE,2/2/2016 16:00,16,2,2,2016
8637,2/2/2016 22:00,2/2/2016 17:00,Hydro,2905.3,0.03,TRUE,2/2/2016 17:00,17,2,2,2016
8641,2/2/2016 22:00,2/2/2016 17:00,Other Renewables,629.7,0,TRUE,2/2/2016 17:00,17,2,2,2016
8642,2/2/2016 22:00,2/2/2016 17:00,Wind,3759.7,0.04,TRUE,2/2/2016 17:00,17,2,2,2016
8644,2/2/2016 22:00,2/2/2016 17:00,Solar,1.2,0,TRUE,2/2/2016 17:00,17,2,2,2016
8648,2/2/2016 23:00,2/2/2016 18:00,Hydro,4026.6,0.04,TRUE,2/2/2016 18:00,18,2,2,2016
8651,2/2/2016 23:00,2/2/2016 18:00,Other Renewables,623.1,0,TRUE,2/2/2016 18:00,18,2,2,2016
8652,2/2/2016 23:00,2/2/2016 18:00,Solar,0,0,TRUE,2/2/2016 18:00,18,2,2,2016
8654,2/2/2016 23:00,2/2/2016 18:00,Wind,3393.5,0.04,TRUE,2/2/2016 18:00,18,2,2,2016
8660,2/3/2016 0:00,2/2/2016 19:00,Hydro,3022.8,0.03,TRUE,2/2/2016 19:00,19,2,2,2016
8663,2/3/2016 0:00,2/2/2016 19:00,Other Renewables,634,0,TRUE,2/2/2016 19:00,19,2,2,2016
8664,2/3/2016 0:00,2/2/2016 19:00,Solar,0,0,TRUE,2/2/2016 19:00,19,2,2,2016
8666,2/3/2016 0:00,2/2/2016 19:00,Wind,3103.9,0.03,TRUE,2/2/2016 19:00,19,2,2,2016
8670,2/3/2016 1:00,2/2/2016 20:00,Hydro,2382.9,0.03,TRUE,2/2/2016 20:00,20,2,2,2016
8674,2/3/2016 1:00,2/2/2016 20:00,Other Renewables,618.9,0,TRUE,2/2/2016 20:00,20,2,2,2016
8675,2/3/2016 1:00,2/2/2016 20:00,Solar,0,0,TRUE,2/2/2016 20:00,20,2,2,2016
8677,2/3/2016 1:00,2/2/2016 20:00,Wind,3109.5,0.03,TRUE,2/2/2016 20:00,20,2,2,2016
8681,2/3/2016 2:00,2/2/2016 21:00,Hydro,1073.4,0.01,TRUE,2/2/2016 21:00,21,2,2,2016
8685,2/3/2016 2:00,2/2/2016 21:00,Other Renewables,615.7,0,TRUE,2/2/2016 21:00,21,2,2,2016
8686,2/3/2016 2:00,2/2/2016 21:00,Solar,0,0,TRUE,2/2/2016 21:00,21,2,2,2016
8688,2/3/2016 2:00,2/2/2016 21:00,Wind,3314,0.04,TRUE,2/2/2016 21:00,21,2,2,2016
8692,2/3/2016 3:00,2/2/2016 22:00,Hydro,1143.8,0.01,TRUE,2/2/2016 22:00,22,2,2,2016
8697,2/3/2016 3:00,2/2/2016 22:00,Other Renewables,637.3,0.01,TRUE,2/2/2016 22:00,22,2,2,2016
8698,2/3/2016 3:00,2/2/2016 22:00,Solar,0,0,TRUE,2/2/2016 22:00,22,2,2,2016
8700,2/3/2016 3:00,2/2/2016 22:00,Wind,3280.1,0.04,TRUE,2/2/2016 22:00,22,2,2,2016
8702,2/3/2016 4:00,2/2/2016 23:00,Hydro,1143.8,0.01,TRUE,2/2/2016 23:00,23,2,2,2016
8707,2/3/2016 4:00,2/2/2016 23:00,Other Renewables,637.3,0.01,TRUE,2/2/2016 23:00,23,2,2,2016
8708,2/3/2016 4:00,2/2/2016 23:00,Solar,0,0,TRUE,2/2/2016 23:00,23,2,2,2016
8710,2/3/2016 4:00,2/2/2016 23:00,Wind,3280.1,0.04,TRUE,2/2/2016 23:00,23,2,2,2016
8724,2/3/2016 14:00,2/3/2016 9:00,Hydro,622,0.01,TRUE,2/3/2016 9:00,9,3,2,2016
8728,2/3/2016 14:00,2/3/2016 9:00,Other Renewables,605.8,0,TRUE,2/3/2016 9:00,9,3,2,2016
