,datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable,timedate,Hour,Day,Month,Year
123,1/1/2016 16:00,1/1/2016 11:00,Hydro,716.1,0.01,TRUE,1/1/2016 11:00,11,1,1,2016
126,1/1/2016 16:00,1/1/2016 11:00,Wind,2992,0.04,TRUE,1/1/2016 11:00,11,1,1,2016
128,1/1/2016 16:00,1/1/2016 11:00,Other Renewables,609.6,0,TRUE,1/1/2016 11:00,11,1,1,2016
129,1/1/2016 16:00,1/1/2016 11:00,Solar,10,0,TRUE,1/1/2016 11:00,11,1,1,2016
135,1/1/2016 17:00,1/1/2016 12:00,Hydro,684.5,0.01,TRUE,1/1/2016 12:00,12,1,1,2016
137,1/1/2016 17:00,1/1/2016 12:00,Wind,2982.4,0.04,TRUE,1/1/2016 12:00,12,1,1,2016
139,1/1/2016 17:00,1/1/2016 12:00,Other Renewables,622.4,0.01,TRUE,1/1/2016 12:00,12,1,1,2016
140,1/1/2016 17:00,1/1/2016 12:00,Solar,7.9,0,TRUE,1/1/2016 12:00,12,1,1,2016
145,1/1/2016 18:00,1/1/2016 13:00,Hydro,640.5,0.01,TRUE,1/1/2016 13:00,13,1,1,2016
149,1/1/2016 18:00,1/1/2016 13:00,Other Renewables,622.9,0.01,TRUE,1/1/2016 13:00,13,1,1,2016
150,1/1/2016 18:00,1/1/2016 13:00,Solar,7.2,0,TRUE,1/1/2016 13:00,13,1,1,2016
152,1/1/2016 18:00,1/1/2016 13:00,Wind,2928.7,0.04,TRUE,1/1/2016 13:00,13,1,1,2016
157,1/1/2016 19:00,1/1/2016 14:00,Hydro,640.1,0.01,TRUE,1/1/2016 14:00,14,1,1,2016
159,1/1/2016 19:00,1/1/2016 14:00,Wind,2871.5,0.04,TRUE,1/1/2016 14:00,14,1,1,2016
161,1/1/2016 19:00,1/1/2016 14:00,Other Renewables,616.6,0.01,TRUE,1/1/2016 14:00,14,1,1,2016
162,1/1/2016 19:00,1/1/2016 14:00,Solar,5.4,0,TRUE,1/1/2016 14:00,14,1,1,2016
167,1/1/2016 20:00,1/1/2016 15:00,Hydro,625.7,0.01,TRUE,1/1/2016 15:00,15,1,1,2016
171,1/1/2016 20:00,1/1/2016 15:00,Other Renewables,621.7,0.01,TRUE,1/1/2016 15:00,15,1,1,2016
172,1/1/2016 20:00,1/1/2016 15:00,Solar,0,0,TRUE,1/1/2016 15:00,15,1,1,2016
174,1/1/2016 20:00,1/1/2016 15:00,Wind,2951.1,0.04,TRUE,1/1/2016 15:00,15,1,1,2016
178,1/1/2016 21:00,1/1/2016 16:00,Hydro,662.5,0.01,TRUE,1/1/2016 16:00,16,1,1,2016
182,1/1/2016 21:00,1/1/2016 16:00,Other Renewables,620.8,0.01,TRUE,1/1/2016 16:00,16,1,1,2016
183,1/1/2016 21:00,1/1/2016 16:00,Solar,0,0,TRUE,1/1/2016 16:00,16,1,1,2016
185,1/1/2016 21:00,1/1/2016 16:00,Wind,2858.8,0.04,TRUE,1/1/2016 16:00,16,1,1,2016
189,1/1/2016 22:00,1/1/2016 17:00,Hydro,1513.6,0.02,TRUE,1/1/2016 17:00,17,1,1,2016
193,1/1/2016 22:00,1/1/2016 17:00,Other Renewables,616,0,TRUE,1/1/2016 17:00,17,1,1,2016
