,Facility Name,Fuel,Fuel Cost ($/MMBtu),Gas price,Gas_Hubs,Heat rate (MMBtu/MWh),Marginal Cost ($/MWh),ORIS,Plant nameplate capacity (MW),State,Unit Group,VOM ($/MWh),Running Capacity (MW)
26,Helix Ironwood LLC,GAS,1.42,1.42,Dominion South Point,7.716049382716049,13.95679012345679,55337,777.6,PA,Combined cycle,3.0,52013.100000000006
27,B L England,COAL,2.223397515527951,1.95,Transco Zone 6 Non NY,4.188416604523987,14.312515072494648,2378,804.6,NJ,Coal boiler,5.0,52817.700000000004
28,"Marcus Hook Energy, LP",GAS,1.42,1.42,Dominion South Point,8.188015787585217,14.626982418371007,55801,836.1,PA,Combined cycle,3.0,53653.8
29,Hunterstown Combined Cycle,GAS,1.42,1.42,Dominion South Point,8.201559020044543,14.646213808463251,55976,898,PA,Combined cycle,3.0,54551.8
30,"Dynegy Fayette II, LLC",GAS,1.42,1.42,Dominion South Point,8.383791336748951,14.904983698183509,55516,644.1,PA,Combined cycle,3.0,55195.9
31,McKee Run,GAS,1.58,1.58,Transco Zone 6 NY,7.804232804232805,15.330687830687832,599,151.2,DE,Coal boiler,3.0,55347.1
32,Bethlehem Power Plant,GAS,1.42,1.42,Dominion South Point,8.794449262792714,15.488117953165654,55690,1153,PA,Combined cycle,3.0,56500.1
33,Howard M Down,GAS,1.95,1.95,Transco Zone 6 Non NY,4.397981254506129,15.57606344628695,2434,138.7,NJ,Combustion turbine,7.0,56638.799999999996
34,North Jersey Energy Associates,GAS,1.95,1.95,Transco Zone 6 Non NY,6.508600650860065,15.691771269177126,10308,430.2,NJ,Combined cycle,3.0,57068.99999999999
35,Hazleton Generation,GAS,1.42,1.42,Dominion South Point,6.209912536443149,15.81807580174927,10870,171.5,PA,Combustion turbine,7.0,57240.49999999999
36,New Castle,GAS,1.42,1.42,Dominion South Point,9.229500471253536,16.10589066918002,3138,424.4,PA,Coal boiler,3.0,57664.899999999994
37,Cromby,COAL,2.223397515527951,1.42,Dominion South Point,5.031413612565445,16.18683252577152,3159,420.2,PA,,5.0,58085.09999999999
38,Newark Energy Center,GAS,1.95,1.95,Transco Zone 6 Non NY,6.887074829931973,16.429795918367347,58079,735,NJ,Combined cycle,3.0,58820.09999999999
39,Cumberland Energy Center,GAS,1.95,1.95,Transco Zone 6 Non NY,4.974048442906574,16.699394463667822,5083,231.2,NJ,Combustion turbine,7.0,59051.29999999999
40,Woodbridge Energy Center,GAS,1.95,1.95,Transco Zone 6 Non NY,7.061635220125786,16.77018867924528,57839,795,NJ,Combined cycle,3.0,59846.29999999999
41,Grays Ferry Cogen Partnership,GAS,1.42,1.42,Dominion South Point,9.766355140186915,16.868224299065417,54785,192.6,PA,Combined cycle,3.0,60038.89999999999
42,Warren County Power Station,GAS,1.95,1.95,Transco Zone 6 Non NY,7.124032060861296,16.891862518679527,55939,1472.2,VA,Combined cycle,3.0,61511.099999999984
43,Hudson Generating Station,COAL,2.223397515527951,1.95,Transco Zone 6 Non NY,5.367599219258296,16.934306768448664,2403,1229.6,NJ,Coal boiler,5.0,62740.69999999998
44,West Deptford Energy Station,GAS,1.95,1.95,Transco Zone 6 Non NY,7.156109196925523,16.954412934004772,56963,754.6,NJ,Combined cycle,3.0,63495.29999999998
45,Linden Generating Station,GAS,1.95,1.95,Transco Zone 6 Non NY,7.2125583368689,17.064488756894356,2406,2121.3,NJ,Combined cycle,3.0,65616.59999999998
46,Hamilton Municipal Power Plant,GAS,2.7023,2.7023,Lebanon,5.278783490224475,17.2648566256336,2917,138.1,OH,Coal boiler,3.0,65754.69999999998
47,Brunswick County Power Station,GAS,1.95,1.95,Transco Zone 6 Non NY,7.437848118462165,17.50380383100122,58260,1472.2,VA,Combined cycle,3.0,67226.89999999998
48,Bellemeade Power Station,GAS,1.95,1.95,Transco Zone 6 Non NY,7.533333333333333,17.689999999999998,50966,330,VA,Combined cycle,3.0,67556.89999999998
49,Shawville,GAS,1.42,1.42,Dominion South Point,10.55379746835443,17.98639240506329,3131,632,PA,Coal boiler,3.0,68188.89999999998
50,Bergen,GAS,1.95,1.95,Transco Zone 6 Non NY,7.7215724954206,18.057066366070167,2398,1419.4,NJ,Combined cycle,3.0,69608.29999999997
51,Brandywine Power Facility,GAS,1.95,1.95,Transco Zone 6 Non NY,7.7908587257617725,18.192174515235457,54832,288.8,MD,Combined cycle,3.0,69897.09999999998
52,Perryman,GAS,1.95,1.95,Transco Zone 6 Non NY,5.804913824715805,18.31958195819582,1556,545.4,MD,Combustion turbine,7.0,70442.49999999997
53,"Red Oak Power, LLC",GAS,1.95,1.95,Transco Zone 6 Non NY,7.964925100474972,18.531603945926197,55239,821.1,NJ,Combined cycle,3.0,71263.59999999998
54,PEI Power Corporation,,2.0,1.42,Dominion South Point,5.81270182992465,18.625403659849297,50279,92.9,PA,Combustion turbine,7.0,71356.49999999997
55,Tenaska Virginia Generating Station,GAS,1.95,1.95,Transco Zone 6 Non NY,8.085826022619173,18.767360744107386,55439,946.1,VA,Combined cycle,3.0,72302.59999999998
56,NRG Energy Center Dover,GAS,1.58,1.58,Transco Zone 6 NY,10.042372881355933,18.866949152542375,10030,118,DE,Combined cycle,3.0,72420.59999999998
57,Possum Point Power Station,GAS,1.95,1.95,Transco Zone 6 Non NY,8.214611652817139,19.01849272299342,3804,2081.9,VA,Combined cycle,3.0,74502.49999999997
58,Indian River,COAL,2.223397515527951,1.58,Transco Zone 6 NY,6.331302076856113,19.077001307738836,594,804.1,DE,Coal boiler,5.0,75306.59999999998
59,Bear Garden Generating Station,GAS,1.95,1.95,Transco Zone 6 Non NY,8.389982110912344,19.36046511627907,56807,559,VA,Combined cycle,3.0,75865.59999999998
60,Handsome Lake Energy,GAS,1.42,1.42,Dominion South Point,8.828522920203735,19.536502546689302,55233,294.5,PA,Combustion turbine,7.0,76160.09999999998
61,"Camden Plant Holding, LLC",GAS,1.95,1.95,Transco Zone 6 Non NY,8.719745222929935,20.003503184713374,10751,157,NJ,Combined cycle,3.0,76317.09999999998
62,Ocean Peaking Power,GAS,1.95,1.95,Transco Zone 6 Non NY,6.819843342036553,20.29869451697128,55938,574.5,NJ,Combustion turbine,7.0,76891.59999999998
63,Rosemary Power Station,GAS,1.8908,1.8908,Transco Zone 5,9.316666666666666,20.615953333333334,50555,180,NC,Combined cycle,3.0,77071.59999999998
64,"Bayonne Plant Holding, LLC",GAS,1.95,1.95,Transco Zone 6 Non NY,9.08141962421712,20.70876826722338,50497,191.6,NJ,Combined cycle,3.0,77263.19999999998
65,Gilbert Generating Station,GAS,1.95,1.95,Transco Zone 6 Non NY,9.161184210526315,20.864309210526315,2393,608,NJ,Combined cycle,3.0,77871.19999999998
66,Dresden Energy Facility,GAS,2.7023,2.7023,Lebanon,6.6342326404245915,20.927686864219375,55350,678.3,OH,Combined cycle,3.0,78549.49999999999
67,Newark Bay Cogen,GAS,1.95,1.95,Transco Zone 6 Non NY,9.20863309352518,20.9568345323741,50385,139,NJ,Combined cycle,3.0,78688.49999999999
68,Conesville,COAL,2.223397515527951,2.7023,Lebanon,7.4222917049843655,21.502704936385957,2840,2174.8,OH,Coal boiler,5.0,80863.29999999999
69,"EFS Parlin Holdings, LLC",GAS,1.95,1.95,Transco Zone 6 Non NY,9.718518518518518,21.95111111111111,50799,135,NJ,Combined cycle,3.0,80998.29999999999
70,Pedricktown Cogeneration Plant,GAS,1.95,1.95,Transco Zone 6 Non NY,9.851301115241636,22.21003717472119,10099,134.5,NJ,Combined cycle,3.0,81132.79999999999
71,Cordova Energy Company,GAS,2.7393,2.7393,Chicago City Gate,7.042539267015706,22.291627814136124,55188,611.2,IL,Combined cycle,3.0,81743.99999999999
72,Lakewood,GAS,1.95,1.95,Transco Zone 6 Non NY,10.050675675675675,22.598817567567565,54640,236.8,NJ,Combined cycle,3.0,81980.79999999999
73,Gordonsville Power Station,GAS,1.95,1.95,Transco Zone 6 Non NY,10.053262316910786,22.603861517976032,54844,300.4,VA,Combined cycle,3.0,82281.19999999998
74,Seward,COAL,2.223397515527951,1.42,Dominion South Point,7.918326693227091,22.60558789685977,3130,803.2,PA,Coal boiler,5.0,83084.39999999998
75,Lawrenceburg Energy Facility,GAS,2.7023,2.7023,Lebanon,7.305194805194805,22.740827922077923,55502,1232,IN,Combined cycle,3.0,84316.39999999998
76,"Dynegy Washington II, LLC",GAS,2.7023,2.7023,Lebanon,7.343684431389006,22.84483843894251,55397,714.9,OH,Combined cycle,3.0,85031.29999999997
77,Allegheny Energy Units 1 & 2,GAS,1.42,1.42,Dominion South Point,11.187214611872147,22.885844748858446,55196,87.6,PA,Combustion turbine,7.0,85118.89999999998
78,"Armstrong Power, LLC",GAS,1.42,1.42,Dominion South Point,11.19767441860465,22.900697674418602,55347,688,PA,Combustion turbine,7.0,85806.89999999998
79,Clayville,GAS,1.95,1.95,Transco Zone 6 Non NY,8.219178082191782,23.027397260273975,58235,73,NJ,Combustion turbine,7.0,85879.89999999998
80,Hunlock Unit 4,GAS,1.42,1.42,Dominion South Point,11.363636363636363,23.136363636363637,56397,44,PA,Combustion turbine,7.0,85923.89999999998
81,Allegheny Energy Units 8 & 9,GAS,1.42,1.42,Dominion South Point,11.426940639269407,23.226255707762558,55377,87.6,PA,Combustion turbine,7.0,86011.49999999999
82,Bremo Power Station,GAS,1.95,1.95,Transco Zone 6 Non NY,10.405192761605036,23.29012588512982,3796,254.2,VA,Coal boiler,3.0,86265.69999999998
83,Gould Street,GAS,1.95,1.95,Transco Zone 6 Non NY,10.483091787439614,23.442028985507246,1553,103.5,MD,Coal boiler,3.0,86369.19999999998
84,Warren F. Sam Beasley Pwr Station,GAS,1.58,1.58,Transco Zone 6 NY,10.416666666666666,23.458333333333332,7962,96,DE,Combustion turbine,7.0,86465.19999999998
85,"Montour, LLC",COAL,2.223397515527951,1.42,Dominion South Point,8.319531294011606,23.49762520946244,3149,1775.1,PA,Coal boiler,5.0,88240.29999999999
86,Chambersburg Units 12 & 13,GAS,1.42,1.42,Dominion South Point,11.643835616438357,23.53424657534247,55654,87.6,PA,Combustion turbine,7.0,88327.9
87,Morgantown,COAL,2.223397515527951,1.95,Transco Zone 6 Non NY,8.352713178294573,23.57140172853773,1573,1548,MD,Coal boiler,5.0,89875.9
88,Miami Fort Power Station,COAL,2.223397515527951,2.7023,Lebanon,8.472991689750693,23.838828672080663,2832,1444,OH,Coal boiler,5.0,91319.9
89,Zion Energy Center,GAS,2.7393,2.7393,Chicago City Gate,6.184012066365008,23.939864253393665,55392,994.5,IL,Combustion turbine,7.0,92314.4
90,Mitchell (WV),COAL,2.223397515527951,2.8025,Columbia Gas,8.599779492833518,24.120728358454265,3948,1632.6,WV,Coal boiler,5.0,93947.0
91,Waterford Plant,GAS,2.7023,2.7023,Lebanon,7.819010416666666,24.129311848958334,55503,921.6,OH,Combined cycle,3.0,94868.6
92,Fremont Energy Center,GAS,2.7023,2.7023,Lebanon,7.870182555780933,24.26759432048682,55701,739.5,OH,Combined cycle,3.0,95608.1
93,Avon Lake Power Plant,COAL,2.223397515527951,2.7023,Lebanon,8.695402298850574,24.3333358677804,2836,870,OH,Coal boiler,5.0,96478.1
94,Mercer Generating Station,COAL,2.223397515527951,1.95,Transco Zone 6 Non NY,8.723958333333334,24.3968272839027,2408,768,NJ,Coal boiler,5.0,97246.1
95,Cardinal,COAL,2.223397515527951,2.7023,Lebanon,8.788023824718145,24.539270338278765,2828,1880.4,OH,Coal boiler,5.0,99126.5
96,"Brunner Island, LLC",COAL,2.223397515527951,1.42,Dominion South Point,8.807412880187169,24.582379916037024,3140,1624.2,PA,Coal boiler,5.0,100750.7
97,John E Amos,COAL,2.223397515527951,2.8025,Columbia Gas,8.845393166473437,24.666825190204953,3935,2932.6,WV,Coal boiler,5.0,103683.3
98,Will County,COAL,2.223397515527951,2.7393,Chicago City Gate,8.877679697351828,24.738610982744987,884,1268.8,IL,Coal boiler,5.0,104952.1
99,Kanawha River,COAL,2.223397515527951,2.8025,Columbia Gas,8.879781420765028,24.74328394936022,3936,439.2,WV,Coal boiler,5.0,105391.3
100,Wolf Hills Energy,GAS,1.95,1.95,Transco Zone 6 Non NY,9.12280701754386,24.789473684210527,55285,285,VA,Combustion turbine,7.0,105676.3
101,Chalk Point,GAS,1.95,1.95,Transco Zone 6 Non NY,11.176803928976199,24.794767661503588,1571,2647,MD,Coal boiler,3.0,108323.3
102,Kendall Energy Facility,GAS,2.7393,2.7393,Chicago City Gate,7.961783439490445,24.80971337579618,55131,1256,IL,Combined cycle,3.0,109579.3
103,Longview Power,COAL,2.223397515527951,2.8025,Columbia Gas,8.91640866873065,24.82472088148761,56671,807.5,WV,Coal boiler,5.0,110386.8
104,William C. Dale,COAL,2.223397515527951,2.7023,Lebanon,8.930555555555555,24.85617503450656,1385,216,KY,Coal boiler,5.0,110602.8
105,Nelson Energy Center,GAS,2.7393,2.7393,Chicago City Gate,8.019123505976095,24.96678501992032,55183,627.5,IL,Combined cycle,3.0,111230.3
106,Chesterfield Power Station,COAL,2.223397515527951,1.95,Transco Zone 6 Non NY,9.06196165601556,25.148343031794553,3797,1799.5,VA,Coal boiler,5.0,113029.8
107,Gen J M Gavin,COAL,2.223397515527951,2.7023,Lebanon,9.181538461538462,25.414209804108943,8102,2600,OH,Coal boiler,5.0,115629.8
108,Mountaineer (1301),COAL,2.223397515527951,2.8025,Columbia Gas,9.2,25.455257142857146,6264,1300,WV,Coal boiler,5.0,116929.8
109,Joliet 9,GAS,2.7393,2.7393,Chicago City Gate,8.351063829787234,25.87606914893617,874,507.6,IL,Coal boiler,3.0,117437.40000000001
110,W H Zimmer Generating Station,COAL,2.223397515527951,2.7023,Lebanon,9.46969696969697,26.054900715226808,6019,1425.6,OH,Coal boiler,5.0,118863.00000000001
111,"Dynegy Hanging Rock II, LLC",GAS,2.7023,2.7023,Lebanon,8.539046731873933,26.07506598354293,55736,1288.2,OH,Combined cycle,3.0,120151.20000000001
112,Keystone,COAL,2.223397515527951,1.42,Dominion South Point,9.511677282377919,26.148239638142716,3136,1884,PA,Coal boiler,5.0,122035.20000000001
113,Bruce Mansfield,COAL,2.223397515527951,1.42,Dominion South Point,9.722374229323995,26.616702706511944,6094,2741.1,PA,Coal boiler,5.0,124776.30000000002
114,Dickerson,COAL,2.223397515527951,1.95,Transco Zone 6 Non NY,9.765273311897106,26.71208442012343,1572,933,MD,Coal boiler,5.0,125709.30000000002
115,Marsh Run Generation Facility,GAS,1.95,1.95,Transco Zone 6 Non NY,10.15801354401806,26.808126410835214,7836,708.8,VA,Combustion turbine,7.0,126418.10000000002
116,Cheswick,COAL,2.223397515527951,1.42,Dominion South Point,9.811616954474097,26.815124759889628,8226,637,PA,Coal boiler,5.0,127055.10000000002
117,Buchanan Units 1 & 2,GAS,1.95,1.95,Transco Zone 6 Non NY,10.204545454545455,26.898863636363636,55738,88,VA,Combustion turbine,7.0,127143.10000000002
118,H L Spurlock,COAL,2.223397515527951,2.7023,Lebanon,9.865340379235311,26.934573289029363,6041,1608.5,KY,Coal boiler,5.0,128751.60000000002
119,Herbert A Wagner,COAL,2.223397515527951,1.95,Transco Zone 6 Non NY,9.879074161549362,26.965108946505225,1554,1058.5,MD,Coal boiler,5.0,129810.10000000002
120,Virginia City Hybrid Energy Center,COAL,2.223397515527951,1.95,Transco Zone 6 Non NY,9.880239520958083,26.967700003719273,56808,668,VA,Coal boiler,5.0,130478.10000000002
121,Kincaid Generating Station,COAL,2.223397515527951,2.7393,Chicago City Gate,9.886277482941622,26.981124793392326,876,1319,IL,Coal boiler,5.0,131797.10000000003
122,Rock Springs Generating Facility,GAS,1.95,1.95,Transco Zone 6 Non NY,10.341261633919338,27.16546018614271,7835,773.6,MD,Combustion turbine,7.0,132570.70000000004
123,Altavista Power Station,,2.0,1.95,Transco Zone 6 Non NY,11.082981715893109,27.165963431786217,10773,71.1,VA,Coal boiler,5.0,132641.80000000005
124,Yorktown Power Station,COAL,2.223397515527951,1.95,Transco Zone 6 Non NY,9.969769291964996,27.16676027414183,3809,1257,VA,Coal boiler,5.0,133898.80000000005
125,Waukegan,COAL,2.223397515527951,2.7393,Chicago City Gate,10.042636930141029,27.32877399982481,883,914.7,IL,Coal boiler,5.0,134813.50000000006
126,Conemaugh,COAL,2.223397515527951,1.42,Dominion South Point,10.066348195329088,27.381493567933965,3118,1884,PA,Coal boiler,5.0,136697.50000000006
127,Smith Generating Facility,GAS,2.7023,2.7023,Lebanon,7.566430203198268,27.446764338102682,54,1663.4,KY,Combustion turbine,7.0,138360.90000000005
128,Southampton Power Station,,2.0,1.95,Transco Zone 6 Non NY,11.251758087201127,27.503516174402254,10774,71.1,VA,Coal boiler,5.0,138432.00000000006
129,Killen Station,COAL,2.223397515527951,2.7023,Lebanon,10.13491948353402,27.53395479976536,6031,689.3,OH,Coal boiler,5.0,139121.30000000005
130,East Bend,COAL,2.223397515527951,2.7023,Lebanon,10.215025906735752,27.712063222089924,6018,772,KY,Coal boiler,5.0,139893.30000000005
131,Rockport,COAL,2.223397515527951,2.7023,Lebanon,10.307692307692308,27.91809746774965,6166,2600,IN,Coal boiler,5.0,142493.30000000005
132,Homer City,COAL,2.223397515527951,1.42,Dominion South Point,10.359840954274354,28.034044638998314,3122,2012,PA,Coal boiler,5.0,144505.30000000005
133,Hopewell Power Station,,2.0,1.95,Transco Zone 6 Non NY,11.533052039381154,28.066104078762308,10771,71.1,VA,Coal boiler,5.0,144576.40000000005
134,Eagle Point Power Generation,GAS,1.95,1.95,Transco Zone 6 Non NY,12.911040508339951,28.176528991262906,50561,251.8,NJ,Combined cycle,3.0,144828.20000000004
135,W H Sammis,COAL,2.223397515527951,2.7023,Lebanon,10.47242818362303,28.284370805012337,2866,2468.1,OH,Coal boiler,5.0,147296.30000000005
136,J M Stuart,COAL,2.223397515527951,2.7023,Lebanon,10.684083863599282,28.754965518018913,2850,2451.6,OH,Coal boiler,5.0,149747.90000000005
137,Fort Martin Power Station,COAL,2.223397515527951,2.8025,Columbia Gas,10.984375,29.422632084627335,3943,1152,WV,Coal boiler,5.0,150899.90000000005
138,John S. Cooper,COAL,2.223397515527951,2.7023,Lebanon,11.043604651162791,29.554323143868274,1384,344,KY,Coal boiler,5.0,151243.90000000005
139,Harrison Power Station,COAL,2.223397515527951,2.8025,Columbia Gas,11.102826510721247,29.68599687927549,3944,2052,WV,Coal boiler,5.0,153295.90000000005
140,Mount Storm Power Station,COAL,2.223397515527951,2.8025,Columbia Gas,11.187459099292045,29.8741687664365,3954,1680.9,WV,Coal boiler,5.0,154976.80000000005
141,"LSP University Park, LLC",GAS,2.7393,2.7393,Chicago City Gate,8.388567493112948,29.9788029338843,55640,726,IL,Combustion turbine,7.0,155702.80000000005
142,Ladysmith Combustion Turbine Sta,GAS,1.95,1.95,Transco Zone 6 Non NY,11.92717086834734,30.257983193277312,7839,892.5,VA,Combustion turbine,7.0,156595.30000000005
143,Remington Combustion Turbine Station,GAS,1.95,1.95,Transco Zone 6 Non NY,11.963146704464918,30.32813607370659,7838,705.5,VA,Combustion turbine,7.0,157300.80000000005
144,Elizabeth River Combustion Turbine Sta,GAS,1.95,1.95,Transco Zone 6 Non NY,11.983024691358024,30.366898148148145,52087,388.8,VA,Combustion turbine,7.0,157689.60000000003
145,Northampton Generating Plant,COAL,2.223397515527951,1.42,Dominion South Point,11.409395973154362,30.367622660386015,50888,134.1,PA,Coal boiler,5.0,157823.70000000004
146,Joliet 29,GAS,2.7393,2.7393,Chicago City Gate,10.16969696969697,30.85785090909091,384,1320,IL,Coal boiler,3.0,159143.70000000004
147,Brandon Shores,COAL,2.223397515527951,1.95,Transco Zone 6 Non NY,11.678832116788321,30.96668631273519,602,1370,MD,Coal boiler,5.0,160513.70000000004
148,Gilberton Power Company,COAL,2.223397515527951,1.42,Dominion South Point,11.76470588235294,31.157617829740595,10113,88.4,PA,Coal boiler,5.0,160602.10000000003
149,Aurora,GAS,2.7393,2.7393,Chicago City Gate,8.831372549019608,31.191778823529415,55279,1275,IL,Combustion turbine,7.0,161877.10000000003
150,Powerton,COAL,2.223397515527951,2.7393,Chicago City Gate,11.870519713261649,31.392884038491513,879,1785.6,IL,Coal boiler,5.0,163662.70000000004
151,C P Crane,COAL,2.223397515527951,1.95,Transco Zone 6 Non NY,12.025012025012025,31.73638186060547,1552,415.8,MD,Coal boiler,5.0,164078.50000000003
152,Clover Power Station,COAL,2.223397515527951,1.95,Transco Zone 6 Non NY,12.14622641509434,32.00588963436073,7213,848,VA,Coal boiler,5.0,164926.50000000003
153,Riverside Generating Company,GAS,2.7023,2.7023,Lebanon,9.273913043478261,32.060895217391305,55198,1150,KY,Combustion turbine,7.0,166076.50000000003
154,Southeast Chicago Energy Project,GAS,2.7393,2.7393,Chicago City Gate,9.174852652259332,32.13267387033399,55281,407.2,IL,Combustion turbine,7.0,166483.70000000004
155,Whitewater Valley,COAL,2.223397515527951,2.7023,Lebanon,12.289669861554845,32.32482143683978,1040,93.9,IN,Coal boiler,5.0,166577.60000000003
156,Pleasants Power Station,COAL,2.223397515527951,2.8025,Columbia Gas,12.320906432748538,32.39427275162545,6004,1368,WV,Coal boiler,5.0,167945.60000000003
157,Bay Shore,OIL,10.0,2.7023,Lebanon,3.269201863820833,32.69201863820833,2878,665.3,OH,Coal boiler,0.0,168610.90000000002
158,Northeastern Power Company,COAL,2.223397515527951,1.42,Dominion South Point,12.711864406779661,33.26352773976208,50039,59,PA,Coal boiler,5.0,168669.90000000002
159,Robert P Mone,GAS,2.7023,2.7023,Lebanon,9.829797979797979,33.56306308080808,7872,594,OH,Combustion turbine,7.0,169263.90000000002
160,St. Nicholas Cogeneration Project,COAL,2.223397515527951,1.42,Dominion South Point,13.104838709677418,34.13726582849129,54634,99.2,PA,Coal boiler,5.0,169363.10000000003
161,Mt. Carmel Cogeneration,COAL,2.223397515527951,1.42,Dominion South Point,13.192389006342495,34.33192494058015,10343,47.3,PA,Coal boiler,5.0,169410.40000000002
162,AMP-Ohio Gas Turbines Galion,GAS,2.7023,2.7023,Lebanon,10.242424242424242,34.678103030303035,55263,49.5,OH,Combustion turbine,7.0,169459.90000000002
163,AMP-Ohio Gas Turbines Bowling Green,GAS,2.7023,2.7023,Lebanon,10.242424242424242,34.678103030303035,55262,49.5,OH,Combustion turbine,7.0,169509.40000000002
164,AMP-Ohio Gas Turbines Napoleon,GAS,2.7023,2.7023,Lebanon,10.242424242424242,34.678103030303035,55264,49.5,OH,Combustion turbine,7.0,169558.90000000002
165,University Park Energy,GAS,2.7393,2.7393,Chicago City Gate,10.186757215619695,34.904584040747025,55250,353.4,IL,Combustion turbine,7.0,169912.30000000002
166,Rockford II Energy Center,GAS,2.7393,2.7393,Chicago City Gate,10.249404761904762,35.07619446428571,55936,168,IL,Combustion turbine,7.0,170080.30000000002
167,Big Sandy Peaker Plant,GAS,2.8025,2.8025,Columbia Gas,10.186757215619695,35.54838709677419,55284,353.4,WV,Combustion turbine,7.0,170433.7
168,Cambria Cogen,COAL,2.223397515527951,1.42,Dominion South Point,13.877551020408163,35.85531246038789,10641,98,PA,Coal boiler,5.0,170531.7
169,Louisa Generation Facility,GAS,1.95,1.95,Transco Zone 6 Non NY,14.928304851699076,36.1101944608132,7837,509.1,VA,Combustion turbine,7.0,171040.80000000002
170,Elwood Energy Facility,GAS,2.7393,2.7393,Chicago City Gate,10.795717592592593,36.57270920138889,55199,1728,IL,Combustion turbine,7.0,172768.80000000002
171,Rockford Energy Center,GAS,2.7393,2.7393,Chicago City Gate,10.825316455696203,36.653789367088606,55238,316,IL,Combustion turbine,7.0,173084.80000000002
172,Greenville Electric Gen Station,GAS,2.7023,2.7023,Lebanon,11.016949152542374,36.77110169491526,55228,236,OH,Combustion turbine,7.0,173320.80000000002
173,"Elgin Energy Center, LLC",GAS,2.7393,2.7393,Chicago City Gate,10.903703703703703,36.868515555555554,55438,540,IL,Combustion turbine,7.0,173860.80000000002
