,Facility Name,Fuel,Fuel Cost ($/MMBtu),Gas price,Gas_Hubs,Heat rate (MMBtu/MWh),Marginal Cost ($/MWh),ORIS,Plant nameplate capacity (MW),State,Unit Group,VOM ($/MWh),Running Capacity (MW)
0,,WIND,,,,,0.0,,1244.9,,,,1244.9
1,,SOLAR,,,,,0.0,,0.0,,,,1244.9
2,,HYDRO,,,,,0.0,,430.0,,,,1674.9
3,,NUCLEAR,,,,,0.0,,31982.6,,,,33657.5
4,,STORAGE,,,,,0.0,,0.0,,,,33657.5
5,,OTHER RENEWABLES,,,,,0.0,,734.9,,,,34392.4
6,York Energy Center,GAS,1.42,1.42,Dominion South Point,3.1540716197272842,7.4787817000127434,55524,1569.4,PA,Combined cycle,3.0,35961.8
7,Big Sandy,GAS,2.7023,2.7023,Lebanon,2.290299051787017,9.189075127644056,1353,1096.8,KY,Coal boiler,3.0,37058.600000000006
8,Doswell Limited Partnership,GAS,1.95,1.95,Transco Zone 6 Non NY,1.6313023610053314,10.181039603960397,52019,1313,VA,Combustion turbine,7.0,38371.600000000006
9,Riverside,GAS,1.95,1.95,Transco Zone 6 Non NY,4.199066874027994,11.188180404354588,1559,257.2,MD,Coal boiler,3.0,38628.8
10,Burlington Generating Station,GAS,1.95,1.95,Transco Zone 6 Non NY,2.2612942612942613,11.409523809523808,2399,819,NJ,Combustion turbine,7.0,39447.8
11,Ontelaunee Energy Center,GAS,1.42,1.42,Dominion South Point,5.934065934065934,11.426373626373627,55193,728,PA,Combined cycle,3.0,40175.8
12,Portland,GAS,1.42,1.42,Dominion South Point,3.140096618357488,11.458937198067634,3113,621,PA,Combustion turbine,7.0,40796.8
13,Hay Road,GAS,1.58,1.58,Transco Zone 6 NY,5.870913663034367,12.2760435875943,7153,1193,DE,Combined cycle,3.0,41989.8
14,Brunot Island Power Station,GAS,1.42,1.42,Dominion South Point,6.690682036503363,12.500768491834775,3096,416.4,PA,Combined cycle,3.0,42406.200000000004
15,Garrison Energy Center,GAS,1.58,1.58,Transco Zone 6 NY,6.293628808864266,12.943933518005542,57349,361,DE,Combined cycle,3.0,42767.200000000004
16,Sewaren Generating Station,GAS,1.95,1.95,Transco Zone 6 Non NY,5.11912176891934,12.982287449392713,2411,1284.4,NJ,Coal boiler,3.0,44051.600000000006
17,Panda Patriot Generation Plant,GAS,1.42,1.42,Dominion South Point,7.227586206896552,13.263172413793104,58426,870,PA,Combined cycle,3.0,44921.600000000006
18,Panda Liberty Power Project,GAS,1.42,1.42,Dominion South Point,7.227586206896552,13.263172413793104,58420,870,PA,Combined cycle,3.0,45791.600000000006
19,"Fairless Energy, LLC",GAS,1.42,1.42,Dominion South Point,7.263079222720478,13.313572496263077,55298,1338,PA,Combined cycle,3.0,47129.600000000006
20,Liberty Electric Power Plant,GAS,1.42,1.42,Dominion South Point,7.312703583061889,13.384039087947883,55231,614,PA,Combined cycle,3.0,47743.600000000006
21,"Lower Mount Bethel Energy, LLC",GAS,1.42,1.42,Dominion South Point,7.366482504604051,13.460405156537753,55667,651.6,PA,Combined cycle,3.0,48395.200000000004
22,Clinch River,GAS,1.95,1.95,Transco Zone 6 Non NY,5.389473684210526,13.509473684210526,3775,712.5,VA,Coal boiler,3.0,49107.700000000004
23,Hunlock Creek Energy Center,GAS,1.42,1.42,Dominion South Point,7.402330363262508,13.511309115832761,3176,145.9,PA,Combined cycle,3.0,49253.600000000006
24,Kearny Generating Station,GAS,1.95,1.95,Transco Zone 6 Non NY,3.3606844799775577,13.553334735956238,2404,1425.9,NJ,Combustion turbine,7.0,50679.50000000001
25,"Allegheny Energy Units 3, 4 & 5",GAS,1.42,1.42,Dominion South Point,7.580935251798561,13.764928057553956,55710,556,PA,Combined cycle,3.0,51235.50000000001
