,Facility Name,Fuel,Fuel Cost ($/MMBtu),Gas price,Gas_Hubs,Heat rate (MMBtu/MWh),Marginal Cost ($/MWh),ORIS,Plant nameplate capacity (MW),State,Unit Group,VOM ($/MWh),Running Capacity (MW)
0,,WIND,,,,,0.0,,1371.1,,,,1371.1
1,,SOLAR,,,,,0.0,,130.5,,,,1501.6
2,,HYDRO,,,,,0.0,,4617.1,,,,6118.700000000001
3,,NUCLEAR,,,,,0.0,,32006.1,,,,38124.8
4,,STORAGE,,,,,0.0,,0.0,,,,38124.8
5,,OTHER RENEWABLES,,,,,0.0,,736.5,,,,38861.3
6,York Energy Center,GAS,1.42,1.42,Dominion South Point,3.1540716197272842,7.4787817000127434,55524,1569.4,PA,Combined cycle,3.0,40430.700000000004
7,Big Sandy,GAS,2.7023,2.7023,Lebanon,2.290299051787017,9.189075127644056,1353,1096.8,KY,Coal boiler,3.0,41527.50000000001
8,Doswell Limited Partnership,GAS,1.95,1.95,Transco Zone 6 Non NY,1.6313023610053314,10.181039603960397,52019,1313,VA,Combustion turbine,7.0,42840.50000000001
9,Riverside,GAS,1.95,1.95,Transco Zone 6 Non NY,4.199066874027994,11.188180404354588,1559,257.2,MD,Coal boiler,3.0,43097.700000000004
10,Burlington Generating Station,GAS,1.95,1.95,Transco Zone 6 Non NY,2.2612942612942613,11.409523809523808,2399,819,NJ,Combustion turbine,7.0,43916.700000000004
11,Ontelaunee Energy Center,GAS,1.42,1.42,Dominion South Point,5.934065934065934,11.426373626373627,55193,728,PA,Combined cycle,3.0,44644.700000000004
12,Portland,GAS,1.42,1.42,Dominion South Point,3.140096618357488,11.458937198067634,3113,621,PA,Combustion turbine,7.0,45265.700000000004
13,Hay Road,GAS,1.58,1.58,Transco Zone 6 NY,5.870913663034367,12.2760435875943,7153,1193,DE,Combined cycle,3.0,46458.700000000004
14,Brunot Island Power Station,GAS,1.42,1.42,Dominion South Point,6.690682036503363,12.500768491834775,3096,416.4,PA,Combined cycle,3.0,46875.100000000006
15,Garrison Energy Center,GAS,1.58,1.58,Transco Zone 6 NY,6.293628808864266,12.943933518005542,57349,361,DE,Combined cycle,3.0,47236.100000000006
16,Sewaren Generating Station,GAS,1.95,1.95,Transco Zone 6 Non NY,5.11912176891934,12.982287449392713,2411,1284.4,NJ,Coal boiler,3.0,48520.50000000001
17,Panda Patriot Generation Plant,GAS,1.42,1.42,Dominion South Point,7.227586206896552,13.263172413793104,58426,870,PA,Combined cycle,3.0,49390.50000000001
18,Panda Liberty Power Project,GAS,1.42,1.42,Dominion South Point,7.227586206896552,13.263172413793104,58420,870,PA,Combined cycle,3.0,50260.50000000001
19,"Fairless Energy, LLC",GAS,1.42,1.42,Dominion South Point,7.263079222720478,13.313572496263077,55298,1338,PA,Combined cycle,3.0,51598.50000000001
20,Liberty Electric Power Plant,GAS,1.42,1.42,Dominion South Point,7.312703583061889,13.384039087947883,55231,614,PA,Combined cycle,3.0,52212.50000000001
21,"Lower Mount Bethel Energy, LLC",GAS,1.42,1.42,Dominion South Point,7.366482504604051,13.460405156537753,55667,651.6,PA,Combined cycle,3.0,52864.100000000006
22,Clinch River,GAS,1.95,1.95,Transco Zone 6 Non NY,5.389473684210526,13.509473684210526,3775,712.5,VA,Coal boiler,3.0,53576.600000000006
23,Hunlock Creek Energy Center,GAS,1.42,1.42,Dominion South Point,7.402330363262508,13.511309115832761,3176,145.9,PA,Combined cycle,3.0,53722.50000000001
24,Kearny Generating Station,GAS,1.95,1.95,Transco Zone 6 Non NY,3.3606844799775577,13.553334735956238,2404,1425.9,NJ,Combustion turbine,7.0,55148.40000000001
25,"Allegheny Energy Units 3, 4 & 5",GAS,1.42,1.42,Dominion South Point,7.580935251798561,13.764928057553956,55710,556,PA,Combined cycle,3.0,55704.40000000001
26,Helix Ironwood LLC,GAS,1.42,1.42,Dominion South Point,7.716049382716049,13.95679012345679,55337,777.6,PA,Combined cycle,3.0,56482.00000000001
27,B L England,COAL,2.223397515527951,1.95,Transco Zone 6 Non NY,4.188416604523987,14.312515072494648,2378,804.6,NJ,Coal boiler,5.0,57286.600000000006
28,"Marcus Hook Energy, LP",GAS,1.42,1.42,Dominion South Point,8.188015787585217,14.626982418371007,55801,836.1,PA,Combined cycle,3.0,58122.700000000004
29,Hunterstown Combined Cycle,GAS,1.42,1.42,Dominion South Point,8.201559020044543,14.646213808463251,55976,898,PA,Combined cycle,3.0,59020.700000000004
30,"Dynegy Fayette II, LLC",GAS,1.42,1.42,Dominion South Point,8.383791336748951,14.904983698183509,55516,644.1,PA,Combined cycle,3.0,59664.8
31,McKee Run,GAS,1.58,1.58,Transco Zone 6 NY,7.804232804232805,15.330687830687832,599,151.2,DE,Coal boiler,3.0,59816.0
32,Bethlehem Power Plant,GAS,1.42,1.42,Dominion South Point,8.794449262792714,15.488117953165654,55690,1153,PA,Combined cycle,3.0,60969.0
33,Howard M Down,GAS,1.95,1.95,Transco Zone 6 Non NY,4.397981254506129,15.57606344628695,2434,138.7,NJ,Combustion turbine,7.0,61107.7
34,North Jersey Energy Associates,GAS,1.95,1.95,Transco Zone 6 Non NY,6.508600650860065,15.691771269177126,10308,430.2,NJ,Combined cycle,3.0,61537.899999999994
35,Hazleton Generation,GAS,1.42,1.42,Dominion South Point,6.209912536443149,15.81807580174927,10870,171.5,PA,Combustion turbine,7.0,61709.399999999994
36,New Castle,GAS,1.42,1.42,Dominion South Point,9.229500471253536,16.10589066918002,3138,424.4,PA,Coal boiler,3.0,62133.799999999996
37,Cromby,COAL,2.223397515527951,1.42,Dominion South Point,5.031413612565445,16.18683252577152,3159,420.2,PA,,5.0,62553.99999999999
38,Newark Energy Center,GAS,1.95,1.95,Transco Zone 6 Non NY,6.887074829931973,16.429795918367347,58079,735,NJ,Combined cycle,3.0,63288.99999999999
39,Cumberland Energy Center,GAS,1.95,1.95,Transco Zone 6 Non NY,4.974048442906574,16.699394463667822,5083,231.2,NJ,Combustion turbine,7.0,63520.19999999999
40,Woodbridge Energy Center,GAS,1.95,1.95,Transco Zone 6 Non NY,7.061635220125786,16.77018867924528,57839,795,NJ,Combined cycle,3.0,64315.19999999999
41,Grays Ferry Cogen Partnership,GAS,1.42,1.42,Dominion South Point,9.766355140186915,16.868224299065417,54785,192.6,PA,Combined cycle,3.0,64507.79999999999
42,Warren County Power Station,GAS,1.95,1.95,Transco Zone 6 Non NY,7.124032060861296,16.891862518679527,55939,1472.2,VA,Combined cycle,3.0,65979.99999999999
43,Hudson Generating Station,COAL,2.223397515527951,1.95,Transco Zone 6 Non NY,5.367599219258296,16.934306768448664,2403,1229.6,NJ,Coal boiler,5.0,67209.59999999999
44,West Deptford Energy Station,GAS,1.95,1.95,Transco Zone 6 Non NY,7.156109196925523,16.954412934004772,56963,754.6,NJ,Combined cycle,3.0,67964.2
45,Linden Generating Station,GAS,1.95,1.95,Transco Zone 6 Non NY,7.2125583368689,17.064488756894356,2406,2121.3,NJ,Combined cycle,3.0,70085.5
46,Hamilton Municipal Power Plant,GAS,2.7023,2.7023,Lebanon,5.278783490224475,17.2648566256336,2917,138.1,OH,Coal boiler,3.0,70223.6
47,Brunswick County Power Station,GAS,1.95,1.95,Transco Zone 6 Non NY,7.437848118462165,17.50380383100122,58260,1472.2,VA,Combined cycle,3.0,71695.8
48,Bellemeade Power Station,GAS,1.95,1.95,Transco Zone 6 Non NY,7.533333333333333,17.689999999999998,50966,330,VA,Combined cycle,3.0,72025.8
49,Shawville,GAS,1.42,1.42,Dominion South Point,10.55379746835443,17.98639240506329,3131,632,PA,Coal boiler,3.0,72657.8
50,Bergen,GAS,1.95,1.95,Transco Zone 6 Non NY,7.7215724954206,18.057066366070167,2398,1419.4,NJ,Combined cycle,3.0,74077.2
51,Brandywine Power Facility,GAS,1.95,1.95,Transco Zone 6 Non NY,7.7908587257617725,18.192174515235457,54832,288.8,MD,Combined cycle,3.0,74366.0
52,Perryman,GAS,1.95,1.95,Transco Zone 6 Non NY,5.804913824715805,18.31958195819582,1556,545.4,MD,Combustion turbine,7.0,74911.4
53,"Red Oak Power, LLC",GAS,1.95,1.95,Transco Zone 6 Non NY,7.964925100474972,18.531603945926197,55239,821.1,NJ,Combined cycle,3.0,75732.5
54,PEI Power Corporation,,2.0,1.42,Dominion South Point,5.81270182992465,18.625403659849297,50279,92.9,PA,Combustion turbine,7.0,75825.4
55,Tenaska Virginia Generating Station,GAS,1.95,1.95,Transco Zone 6 Non NY,8.085826022619173,18.767360744107386,55439,946.1,VA,Combined cycle,3.0,76771.5
56,NRG Energy Center Dover,GAS,1.58,1.58,Transco Zone 6 NY,10.042372881355933,18.866949152542375,10030,118,DE,Combined cycle,3.0,76889.5
57,Possum Point Power Station,GAS,1.95,1.95,Transco Zone 6 Non NY,8.214611652817139,19.01849272299342,3804,2081.9,VA,Combined cycle,3.0,78971.4
58,Indian River,COAL,2.223397515527951,1.58,Transco Zone 6 NY,6.331302076856113,19.077001307738836,594,804.1,DE,Coal boiler,5.0,79775.5
59,Bear Garden Generating Station,GAS,1.95,1.95,Transco Zone 6 Non NY,8.389982110912344,19.36046511627907,56807,559,VA,Combined cycle,3.0,80334.5
60,Handsome Lake Energy,GAS,1.42,1.42,Dominion South Point,8.828522920203735,19.536502546689302,55233,294.5,PA,Combustion turbine,7.0,80629.0
61,"Camden Plant Holding, LLC",GAS,1.95,1.95,Transco Zone 6 Non NY,8.719745222929935,20.003503184713374,10751,157,NJ,Combined cycle,3.0,80786.0
62,Ocean Peaking Power,GAS,1.95,1.95,Transco Zone 6 Non NY,6.819843342036553,20.29869451697128,55938,574.5,NJ,Combustion turbine,7.0,81360.5
63,Rosemary Power Station,GAS,1.8908,1.8908,Transco Zone 5,9.316666666666666,20.615953333333334,50555,180,NC,Combined cycle,3.0,81540.5
64,"Bayonne Plant Holding, LLC",GAS,1.95,1.95,Transco Zone 6 Non NY,9.08141962421712,20.70876826722338,50497,191.6,NJ,Combined cycle,3.0,81732.1
65,Gilbert Generating Station,GAS,1.95,1.95,Transco Zone 6 Non NY,9.161184210526315,20.864309210526315,2393,608,NJ,Combined cycle,3.0,82340.1
