,DOE/EIA ORIS plant or facility code,Facility Name,Fuel Cost ($/MMBtu),Heat rate (MMBtu/MWh),Marginal Cost ($/MWh),Plant nameplate capacity (MW),Plant primary coal/oil/gas/ other fossil fuel category,State,Running Capacity (MW)
127,384,Joliet 29,2.33,10.16969696969697,23.69539393939394,1320,GAS,IL,144192.19999999998
128,55284,Big Sandy Peaker Plant,2.33,10.186757215619695,23.73514431239389,353.4,GAS,WV,144545.59999999998
129,55250,University Park Energy,2.33,10.186757215619695,23.73514431239389,353.4,GAS,IL,144898.99999999997
130,55738,Buchanan Units 1 & 2,2.33,10.204545454545455,23.77659090909091,88,GAS,VA,144986.99999999997
131,55262,AMP-Ohio Gas Turbines Bowling Green,2.33,10.242424242424242,23.864848484848483,49.5,GAS,OH,145036.49999999997
132,55263,AMP-Ohio Gas Turbines Galion,2.33,10.242424242424242,23.864848484848483,49.5,GAS,OH,145085.99999999997
133,55264,AMP-Ohio Gas Turbines Napoleon,2.33,10.242424242424242,23.864848484848483,49.5,GAS,OH,145135.49999999997
134,55936,Rockford II Energy Center,2.33,10.249404761904762,23.881113095238096,168,GAS,IL,145303.49999999997
135,2850,J M Stuart,2.244055172413792,10.684083863599282,23.9756736566127,2451.6,COAL,OH,147755.09999999998
136,7835,Rock Springs Generating Facility,2.33,10.341261633919338,24.095139607032056,773.6,GAS,MD,148528.69999999998
137,3796,Bremo Power Station,2.33,10.405192761605036,24.244099134539734,254.2,GAS,VA,148782.9
138,7962,Warren F. Sam Beasley Pwr Station,2.33,10.416666666666666,24.270833333333332,96,GAS,DE,148878.9
139,1553,Gould Street,2.33,10.483091787439614,24.425603864734303,103.5,GAS,MD,148982.4
140,3131,Shawville,2.33,10.55379746835443,24.590348101265825,632,GAS,PA,149614.4
141,3943,Fort Martin Power Station,2.244055172413792,10.984375,24.649543534482746,1152,COAL,WV,150766.4
142,1384,John S. Cooper,2.244055172413792,11.043604651162791,24.782458139534874,344,COAL,KY,151110.4
143,3944,Harrison Power Station,2.244055172413792,11.102826510721247,24.91535525979699,2052,COAL,WV,153162.4
144,3954,Mount Storm Power Station,2.244055172413792,11.187459099292045,25.105275457934056,1680.9,COAL,WV,154843.3
145,55199,Elwood Energy Facility,2.33,10.795717592592593,25.154021990740745,1728,GAS,IL,156571.3
146,55238,Rockford Energy Center,2.33,10.825316455696203,25.222987341772154,316,GAS,IL,156887.3
147,55438,"Elgin Energy Center, LLC",2.33,10.903703703703703,25.40562962962963,540,GAS,IL,157427.3
148,55228,Greenville Electric Gen Station,2.33,11.016949152542374,25.66949152542373,236,GAS,OH,157663.3
149,2880,Richland Peaking Station,2.33,11.1,25.863,450,GAS,OH,158113.3
150,1571,Chalk Point,2.33,11.176803928976199,26.041953154514545,2647,GAS,MD,160760.3
151,55196,Allegheny Energy Units 1 & 2,2.33,11.187214611872147,26.066210045662103,87.6,GAS,PA,160847.9
152,55347,"Armstrong Power, LLC",2.33,11.19767441860465,26.09058139534884,688,GAS,PA,161535.9
153,2878,Bay Shore,10.0,3.269201863820833,32.69201863820833,665.3,OIL,OH,162201.19999999998
154,3161,Eddystone Generating Station,10.0,7.1445690973992875,71.44569097399287,1568.8,OIL,PA,163769.99999999997
155,55381,Commonwealth Chesapeake,10.0,7.895652173913043,78.95652173913044,402.5,OIL,VA,164172.49999999997
156,3148,"Martins Creek, LLC",10.0,8.905123339658443,89.05123339658444,2108,OIL,PA,166280.49999999997
157,2869,West Lorain,10.0,9.809215262778977,98.09215262778977,555.6,OIL,OH,166836.09999999998
158,7288,Sherman Avenue,10.0,10.72695035460993,107.26950354609929,112.8,OIL,NJ,166948.89999999997
159,593,Edge Moor,10.0,10.810924961283964,108.10924961283965,710.3,OIL,DE,167659.19999999995
