,Facility Name,Fuel,Fuel Cost ($/MMBtu),Gas price,Gas_Hubs,Heat rate (MMBtu/MWh),Marginal Cost ($/MWh),ORIS,Plant nameplate capacity (MW),State,Unit Group,VOM ($/MWh),Running Capacity (MW)
0,,WIND,,,,,0.0,,1803.8,,,,1803.8
1,,SOLAR,,,,,0.0,,0.0,,,,1803.8
2,,HYDRO,,,,,0.0,,631.5,,,,2435.3
3,,NUCLEAR,,,,,0.0,,28809.1,,,,31244.399999999998
4,,STORAGE,,,,,0.0,,0.0,,,,31244.399999999998
5,,OTHER RENEWABLES,,,,,0.0,,685.2,,,,31929.6
6,Big Sandy,GAS,1.7974,1.7974,Lebanon,2.290299051787017,7.1165835156819846,1353,1096.8,KY,Coal boiler,3.0,33026.4
7,York Energy Center,GAS,1.3983,1.3983,Dominion South Point,3.1540716197272842,7.410338345864662,55524,1569.4,PA,Combined cycle,3.0,34595.8
8,Doswell Limited Partnership,GAS,1.74,1.74,Transco Zone 6 Non NY,1.6313023610053314,9.838466108149277,52019,1313,VA,Combustion turbine,7.0,35908.8
9,Riverside,GAS,1.74,1.74,Transco Zone 6 Non NY,4.199066874027994,10.30637636080871,1559,257.2,MD,Coal boiler,3.0,36166.0
10,Burlington Generating Station,GAS,1.74,1.74,Transco Zone 6 Non NY,2.2612942612942613,10.934652014652015,2399,819,NJ,Combustion turbine,7.0,36985.0
11,Ontelaunee Energy Center,GAS,1.3983,1.3983,Dominion South Point,5.934065934065934,11.297604395604397,55193,728,PA,Combined cycle,3.0,37713.0
12,Portland,GAS,1.3983,1.3983,Dominion South Point,3.140096618357488,11.390797101449277,3113,621,PA,Combustion turbine,7.0,38334.0
13,Sewaren Generating Station,GAS,1.74,1.74,Transco Zone 6 Non NY,5.11912176891934,11.907271877919651,2411,1284.4,NJ,Coal boiler,3.0,39618.4
14,Brunot Island Power Station,GAS,1.3983,1.3983,Dominion South Point,6.690682036503363,12.355580691642652,3096,416.4,PA,Combined cycle,3.0,40034.8
15,Clinch River,GAS,1.74,1.74,Transco Zone 6 Non NY,5.389473684210526,12.377684210526315,3775,712.5,VA,Coal boiler,3.0,40747.3
16,Hamilton Municipal Power Plant,GAS,1.7974,1.7974,Lebanon,5.278783490224475,12.488085445329473,2917,138.1,OH,Coal boiler,3.0,40885.4
17,Kearny Generating Station,GAS,1.74,1.74,Transco Zone 6 Non NY,3.3606844799775577,12.84759099516095,2404,1425.9,NJ,Combustion turbine,7.0,42311.3
18,Hay Road,GAS,1.68,1.68,Transco Zone 6 NY,5.870913663034367,12.863134953897736,7153,1193,DE,Combined cycle,3.0,43504.3
19,Panda Patriot Generation Plant,GAS,1.3983,1.3983,Dominion South Point,7.227586206896552,13.106333793103449,58426,870,PA,Combined cycle,3.0,44374.3
