,Facility Name,Fuel,Fuel Cost ($/MMBtu),Gas price,Gas_Hubs,Heat rate (MMBtu/MWh),Marginal Cost ($/MWh),ORIS,Plant nameplate capacity (MW),State,Unit Group,VOM ($/MWh),Running Capacity (MW)
0,,WIND,,,,,0.0,,2824.7,,,,2824.7
1,,SOLAR,,,,,0.0,,0.0,,,,2824.7
2,,HYDRO,,,,,0.0,,1601.6,,,,4426.299999999999
3,,NUCLEAR,,,,,0.0,,35425.6,,,,39851.899999999994
4,,STORAGE,,,,,0.0,,0.0,,,,39851.899999999994
5,,OTHER RENEWABLES,,,,,0.0,,619.6,,,,40471.49999999999
6,York Energy Center,GAS,1.4,1.4,Dominion South Point,3.1540716197272842,7.415700267618198,55524,1569.4,PA,Combined cycle,3.0,42040.899999999994
7,Big Sandy,GAS,2.3599,2.3599,Lebanon,2.290299051787017,8.404876732312182,1353,1096.8,KY,Coal boiler,3.0,43137.7
8,Doswell Limited Partnership,GAS,2.0578,2.0578,Transco Zone 6 Non NY,1.6313023610053314,10.356893998476771,52019,1313,VA,Combustion turbine,7.0,44450.7
9,Ontelaunee Energy Center,GAS,1.4,1.4,Dominion South Point,5.934065934065934,11.307692307692308,55193,728,PA,Combined cycle,3.0,45178.7
10,Portland,GAS,1.4,1.4,Dominion South Point,3.140096618357488,11.396135265700483,3113,621,PA,Combustion turbine,7.0,45799.7
11,Riverside,GAS,2.0578,2.0578,Transco Zone 6 Non NY,4.199066874027994,11.640839813374805,1559,257.2,MD,Coal boiler,3.0,46056.899999999994
12,Burlington Generating Station,GAS,2.0578,2.0578,Transco Zone 6 Non NY,2.2612942612942613,11.653291330891332,2399,819,NJ,Combustion turbine,7.0,46875.899999999994
13,Brunot Island Power Station,GAS,1.4,1.4,Dominion South Point,6.690682036503363,12.366954851104706,3096,416.4,PA,Combined cycle,3.0,47292.299999999996
14,Panda Patriot Generation Plant,GAS,1.4,1.4,Dominion South Point,7.227586206896552,13.118620689655172,58426,870,PA,Combined cycle,3.0,48162.299999999996
15,Panda Liberty Power Project,GAS,1.4,1.4,Dominion South Point,7.227586206896552,13.118620689655172,58420,870,PA,Combined cycle,3.0,49032.299999999996
16,"Fairless Energy, LLC",GAS,1.4,1.4,Dominion South Point,7.263079222720478,13.168310911808668,55298,1338,PA,Combined cycle,3.0,50370.299999999996
