State,Facility Name,Facility ID (ORISPL),County,FIPS Code,Source Category,Max Hourly HI Rate (MMBtu/hr),SO2 (tons),NOx (tons),CO2 (tons),Gross Load (MW-h),Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Balancing Authority Code,Plant primary fuel,Plant primary coal/oil/gas/ other fossil fuel category,Plant capacity factor,Plant nameplate capacity (MW),Heat rate (MMBtu/MWh),SO2 emissions rate (tons/MWh),NOx emissions rate (tons/MWh),CO2 emissions rate (tons/MWh),Average NOx emissions rate by fuel,Average SO2 emissions rate by fuel,Average CO2 emissions rate by fuel
DE,Garrison Energy Center,57349,Kent County,1.0,Electric Utility,2272.0,3.7110000000000003,43.864,666894.4039692901,1799529.79,DE,Garrison Energy Center,57349,PJM,NG,GAS,0.49492,361,6.293628808864266,2.062205371993314e-06,2.4375256382946567e-05,0.3705937004628804,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
DE,Indian River,594,Sussex County,5.0,Electric Utility,5091.0,474.542,162.66299999999998,361751.3948499,441207.3,DE,Indian River,594,PJM,BIT,COAL,0.06775,804.1,6.331302076856113,0.0010755533736635818,0.000368677036848665,0.8199125328386452,0.0007810550799148578,0.0015627721477698457,0.9478297102068426
OH,Carroll County Energy,59773,Carroll County,19.0,Electric Utility,5400.0,0.9299999999999999,167.367,167009.19870606,429760.36,OH,Carroll County Energy,59773,PJM,NG,GAS,,832.3,6.488045176018263,2.1639966980668017e-06,0.0003894426186724155,0.38861005865236153,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
NJ,North Jersey Energy Associates,10308,Middlesex County,23.0,Cogeneration,2800.0,2.16,284.127,387998.797925085,878551.9199999999,NJ,North Jersey Energy Associates,10308,PJM,NG,GAS,0.24974,430.2,6.508600650860065,2.458591178083135e-06,0.0003234037665070495,0.44163445448401617,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
VA,Doswell Limited Partnership,52019,Hanover County,85.0,Electric Utility,8668.800000000001,12.244000000000002,647.245,1300684.37174454,4232252.81,VA,Doswell Limited Partnership,52019,PJM,NG,GAS,0.39271,1313,6.602284843869003,2.8930218844842596e-06,0.00015293155419985417,0.3073267193942841,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
OH,Dresden Energy Facility,55350,Muskingum County,119.0,Electric Utility,4500.0,7.382,139.75799999999998,1326409.6063912052,3849616.4000000004,OH,Dresden Energy Facility,55350,PJM,NG,GAS,0.66586,678.3,6.6342326404245915,1.917593659461758e-06,3.6304396458826384e-05,0.34455630602342746,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
PA,Brunot Island Power Station,3096,Allegheny County,3.0,Electric Utility,2786.0,0.212,10.534,37956.675738285005,55038.43,PA,Brunot Island Power Station,3096,PJM,NG,GAS,0.01432,416.4,6.690682036503363,3.851854059063821e-06,0.00019139354084046366,0.689639507127747,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
NJ,Ocean Peaking Power,55938,Ocean County,29.0,Electric Utility,3918.0,1.0750000000000002,56.584999999999994,193150.63803732,352494.62,NJ,Ocean Peaking Power,55938,PJM,NG,GAS,0.07058,574.5,6.819843342036553,3.049691935723729e-06,0.0001605272727283043,0.5479534355370304,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
NJ,Newark Energy Center,58079,Essex County,13.0,Electric Utility,5062.0,8.57,88.001,1540157.6956949702,4329231.62,NJ,Newark Energy Center,58079,PJM,NG,GAS,0.67257,735,6.887074829931973,1.979566064427849e-06,2.0327163738123117e-05,0.35575774892242196,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
IL,Cordova Energy Company,55188,Rock Island County,161.0,Electric Utility,4304.4,0.16899999999999998,3.314,30467.32015947,81907.36,IL,Cordova Energy Company,55188,PJM,NG,GAS,0.00857,611.2,7.042539267015706,2.063306643017184e-06,4.046034446721272e-05,0.37197292355009365,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
NJ,Woodbridge Energy Center,57839,Middlesex County,23.0,Electric Utility,5614.0,9.661999999999999,92.367,1736275.5290291102,5053443.220000001,NJ,Woodbridge Energy Center,57839,PJM,NG,GAS,0.68232,795,7.061635220125786,1.9119637006626933e-06,1.8278032616343515e-05,0.3435826729303016,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
NJ,West Deptford Energy Station,56963,Gloucester County,15.0,Electric Utility,5366.0,10.079,102.113,1809468.170094915,4760151.52,NJ,West Deptford Energy Station,56963,PJM,NG,GAS,0.72419,754.6,7.111052213093029,2.1173695748239545e-06,2.145162807758691e-05,0.3801282716510913,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
VA,Warren County Power Station,55939,Warren County,187.0,Electric Utility,10488.0,18.382,189.59,3303472.986765075,9070194.63,VA,Warren County Power Station,55939,PJM,NG,GAS,0.66118,1472.2,7.124032060861296,2.0266378782215836e-06,2.090252830660592e-05,0.36421191843433187,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
PA,Eddystone Generating Station,3161,Delaware County,45.0,Electric Utility,11208.400000000001,2.591,21.767,38153.123021294996,51271.34999999999,PA,Eddystone Generating Station,3161,PJM,DFO,OIL,0.01032,1568.8,7.1445690973992875,5.053504540059898e-05,0.00042454509194706213,0.7441411825765267,0.0009560817743490034,0.0014798985163344898,0.8190664100628472
NJ,Linden Generating Station,2406,Union County,39.0,Electric Utility,15300.0,10.794999999999998,127.53699999999999,1940703.4092026101,5039083.76,NJ,Linden Generating Station,2406,PJM,NG,GAS,0.34519,2121.3,7.2125583368689,2.1422545276365873e-06,2.5309561435033576e-05,0.38513021446633194,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
PA,Panda Liberty Power Project,58420,Bradford County,15.0,Electric Utility,6288.0,11.731,122.77199999999999,2108054.412537045,5924026.9,PA,Panda Liberty Power Project,58420,PJM,NG,GAS,0.34483,870,7.227586206896552,1.980240839216986e-06,2.0724416359419296e-05,0.35584821745779793,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
PA,"Fairless Energy, LLC",55298,Bucks County,17.0,Electric Utility,9718.0,15.807000000000002,199.647,2840523.6772559853,7825442.640000001,PA,"Fairless Energy, LLC",55298,PJM,NG,GAS,0.73194,1338,7.263079222720478,2.0199496344401037e-06,2.5512550431268638e-05,0.362985687574599,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
IN,Lawrenceburg Energy Facility,55502,Dearborn County,29.0,Electric Utility,9000.0,15.898,323.553,2856919.200916695,7384024.13,IN,Lawrenceburg Energy Facility,55502,PJM,NG,GAS,0.70522,1232,7.305194805194805,2.1530265503073323e-06,4.381797706828458e-05,0.3869054529913481,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
PA,Liberty Electric Power Plant,55231,Delaware County,45.0,Electric Utility,4490.0,9.152,159.888,1644565.585593495,2671658.02,PA,Liberty Electric Power Plant,55231,PJM,NG,GAS,0.76907,614,7.312703583061889,3.4255881297262735e-06,5.984598283278786e-05,0.6155599157086337,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
OH,"Dynegy Washington II, LLC",55397,Washington County,167.0,Electric Utility,5250.0,8.79,154.40300000000002,1579606.0448425352,4204363.82,OH,"Dynegy Washington II, LLC",55397,PJM,NG,GAS,0.69881,714.9,7.343684431389006,2.0906849112786816e-06,3.672446215655999e-05,0.37570631669134075,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
PA,"Lower Mount Bethel Energy, LLC",55667,Northampton County,95.0,Electric Utility,4800.0,7.073,117.077,1271043.552458355,3374752.92,PA,"Lower Mount Bethel Energy, LLC",55667,PJM,NG,GAS,0.69019,651.6,7.366482504604051,2.0958571390761256e-06,3.46920212458102e-05,0.37663306991326495,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
PA,Hunlock Creek Energy Center,3176,Luzerne County,79.0,Electric Utility,1080.0,1.3820000000000001,23.916,248298.84237864,587193.1000000001,PA,Hunlock Creek Energy Center,3176,PJM,NG,GAS,0.57294,145.9,7.402330363262508,2.353569890381886e-06,4.072936143152908e-05,0.4228572208676157,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
OH,Conesville,2840,Coshocton County,31.0,Electric Utility,16142.0,4421.357,5426.915,3902023.908412545,4253569.779999999,OH,Conesville,2840,PJM,BIT,COAL,0.238,2174.8,7.4222917049843655,0.0010394462131052664,0.0012758495289102794,0.9173527437494032,0.0007810550799148578,0.0015627721477698457,0.9478297102068426
VA,Brunswick County Power Station,58260,Brunswick County,25.0,Electric Utility,10950.0,17.076,162.671,3068566.6507362304,8342733.45,VA,Brunswick County Power Station,58260,PJM,NG,GAS,0.45714,1472.2,7.437848118462165,2.0468111683467485e-06,1.9498525390380296e-05,0.3678130997624322,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
PA,Panda Patriot Generation Plant,58426,Lycoming County,81.0,Electric Utility,6500.0,12.878,142.15499999999997,2314279.97141373,6349103.51,PA,Panda Patriot Generation Plant,58426,PJM,NG,GAS,0.3861,870,7.471264367816092,2.028317853019221e-06,2.238977515110633e-05,0.36450499944892695,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
VA,Panda Stonewall Power Project,59004,Loudoun County,107.0,Electric Utility,6000.0,1.222,51.956,1318022.3245425,3467516.0,VA,Stonewall,59004,PJM,NG,GAS,,802,7.4812967581047385,3.5241365865362986e-07,1.498363670131587e-05,0.3801056215868939,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
MD,CPV St. Charles Energy Center,56846,Charles County,17.0,Electric Utility,5614.0,7.923,75.824,1423738.5802348352,3305569.02,MD,CPV St Charles Energy Center,56846,PJM,NG,GAS,0.00058,746,7.525469168900805,2.3968641864873237e-06,2.2938259507284466e-05,0.430709076597903,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
VA,Bellemeade Power Station,50966,Richmond city,760.0,Electric Utility,2486.0,0.831,21.398,87477.75123109501,180103.43,VA,Bellemeade Power Station,50966,PJM,NG,GAS,0.324,330,7.533333333333333,4.614015402149754e-06,0.00011880950851407995,0.48570841338832366,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
KY,Smith Generating Facility,54,Clark County,49.0,Electric Utility,12586.0,0.714,34.421,107629.84905171001,167999.99000000002,KY,Smith Generating Facility,54,PJM,NG,GAS,0.01533,1663.4,7.566430203198268,4.250000252976205e-06,0.00020488691695755455,0.6406539015371965,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
PA,"Allegheny Energy Units 3, 4 & 5",55710,Allegheny County,3.0,Electric Utility,4215.0,7.8740000000000006,112.53900000000002,1415017.692895785,2644925.36,PA,"Allegheny Energy Units 3, 4 & 5",55710,PJM,NG,GAS,0.90381,556,7.580935251798561,2.977021627559275e-06,4.2549026789928025e-05,0.5349934309283438,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
PA,Helix Ironwood LLC,55337,Lebanon County,75.0,Electric Utility,6000.0,10.848,223.48399999999998,1949267.8025932352,3300283.54,PA,Helix Ironwood LLC,55337,PJM,NG,GAS,0.7924,777.6,7.716049382716049,3.286990305081484e-06,6.771660594956032e-05,0.5906364647060705,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
NJ,Bergen,2398,Bergen County,3.0,Electric Utility,10960.0,7.991,214.425,1422639.485691195,2258629.83,NJ,Bergen,2398,PJM,NG,GAS,0.39168,1419.4,7.7215724954206,3.5379856822310716e-06,9.493587534881712e-05,0.629868368333378,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
MD,Brandywine Power Facility,54832,Prince George's County,33.0,Cogeneration,2250.0,1.714,78.612,307707.78622206,721067.74,MD,Brandywine Power Facility,54832,PJM,NG,GAS,0.53488,288.8,7.7908587257617725,2.37703048537437e-06,0.00010902165724401981,0.42673908310203973,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
DE,McKee Run,599,Kent County,1.0,Electric Utility,1180.0,3.0639999999999996,10.546,5660.294624925,9324.19,DE,McKee Run,599,PJM,NG,GAS,0.02528,151.2,7.804232804232805,0.000328607632405603,0.0011310365833386061,0.6070548353181349,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
OH,Waterford Plant,55503,Washington County,167.0,Electric Utility,7206.0,12.654,198.824,2274005.316437655,6139727.75,OH,Waterford Plant,55503,PJM,NG,GAS,0.8105,921.6,7.819010416666666,2.0610034378153005e-06,3.238319484117191e-05,0.37037559465688935,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
OH,Fremont Energy Center,55701,Sandusky County,143.0,Electric Utility,5820.0,6.534000000000001,121.181,1174183.8608793,3223116.12,OH,Fremont Energy Center,55701,PJM,NG,GAS,0.26526,739.5,7.870182555780933,2.0272307160934683e-06,3.759746639224404e-05,0.3643008247804922,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
PA,Seward,3130,Indiana County,63.0,Electric Utility,6360.0,7269.872,1450.118,2532857.220568155,0.0,PA,Seward,3130,PJM,WC,COAL,0.39757,803.2,7.918326693227091,0.0015627721477698457,0.0007810550799148578,0.9478297102068426,0.0007810550799148578,0.0015627721477698457,0.9478297102068426
IL,Kendall Energy Facility,55131,Kendall County,93.0,Electric Utility,10000.0,14.833,256.729,2665548.3419153253,6565540.0200000005,IL,Kendall Energy Facility,55131,PJM,NG,GAS,0.65397,1256,7.961783439490445,2.2592201029642036e-06,3.910249563904112e-05,0.4059907233518508,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
NJ,"Red Oak Power, LLC",55239,Middlesex County,23.0,Electric Utility,6540.0,11.43,194.49800000000002,2053938.32436363,3539339.09,NJ,"Red Oak Power, LLC",55239,PJM,NG,GAS,0.82794,821.1,7.964925100474972,3.2294164840814956e-06,5.495319749089088e-05,0.5803169100600729,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
IL,Nelson Energy Center,55183,Lee County,103.0,Electric Utility,5032.0,4.728,140.355,849650.69952798,2258626.19,IL,Nelson Energy Center,55183,PJM,NG,GAS,0.19172,627.5,8.019123505976095,2.09330787933527e-06,6.214175706516535e-05,0.3761803096456523,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
VA,Tenaska Virginia Generating Station,55439,Fluvanna County,65.0,Electric Utility,7650.0,12.73,160.07299999999998,2285815.23311184,6031093.01,VA,Tenaska Virginia Generating Station,55439,PJM,NG,GAS,0.62829,946.1,8.085826022619173,2.1107285161898045e-06,2.6541291890970188e-05,0.37900513709899497,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
PA,"Marcus Hook Energy, LP",55801,Delaware County,45.0,Cogeneration,6846.0,11.543999999999999,244.025,2074398.170180535,5542714.05,PA,"Marcus Hook Energy, LP",55801,PJM,NG,GAS,0.68681,836.1,8.188015787585217,2.082734179656986e-06,4.402626543579314e-05,0.37425675426653754,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
PA,Hunterstown Combined Cycle,55976,Adams County,1.0,Electric Utility,7365.0,10.841000000000001,97.65,1948184.4767392648,3349633.84,PA,Hunterstown Combined Cycle,55976,PJM,NG,GAS,0.58189,898,8.201559020044543,3.2364731543314005e-06,2.9152440136561317e-05,0.581611175966405,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
NJ,Clayville,58235,Cumberland County,11.0,Electric Utility,600.0,0.295,6.416,53043.190411020005,104851.99,NJ,Clayville,58235,PJM,NG,GAS,0.20259,73,8.219178082191782,2.813489758277358e-06,6.119101792917807e-05,0.5058863490432561,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
VA,Possum Point Power Station,3804,Prince William County,153.0,Electric Utility,17116.0,212.45999999999998,210.947,1243445.11505007,3168700.06,VA,Possum Point Power Station,3804,PJM,NG,GAS,0.19432,2081.9,8.2213362793602,6.704957742197916e-05,6.657209455160613e-05,0.3924148993294335,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
VA,Commonwealth Chesapeake,55381,Accomack County,1.0,Electric Utility,3311.0,17.358,98.19099999999999,57962.1361755,76746.0,VA,Commonwealth Chesapeake,55381,PJM,DFO,OIL,0.0285,402.5,8.226086956521739,0.00022617465405363148,0.0012794282438172671,0.755246347373153,0.0009560817743490034,0.0014798985163344898,0.8190664100628472
PA,"Montour, LLC",3149,Montour County,93.0,Electric Utility,14768.0,5263.856,1922.9360000000001,2596053.883139715,3024847.96,PA,"Montour, LLC",3149,PJM,RC,COAL,0.28155,1775.1,8.319531294011606,0.0017402051506747466,0.0006357132739987369,0.8582427670644693,0.0007810550799148578,0.0015627721477698457,0.9478297102068426
IL,Joliet 9,874,Will County,197.0,Small Power Producer,4239.0,1.6909999999999998,24.976999999999997,30837.327355125,51131.5,IL,Joliet 9,874,PJM,NG,GAS,0.0465,507.6,8.351063829787234,3.307158992010796e-05,0.0004884855715165797,0.6030984296397524,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
MD,Morgantown,1573,Charles County,17.0,Electric Utility,12930.0,1518.403,503.68399999999997,2392279.73589936,2800156.39,MD,Morgantown,1573,PJM,BIT,COAL,0.35059,1548,8.352713178294573,0.0005422564987522,0.00017987709607890864,0.8543379021410157,0.0007810550799148578,0.0015627721477698457,0.9478297102068426
PA,"Dynegy Fayette II, LLC",55516,Fayette County,51.0,Electric Utility,5400.0,8.729,107.757,1568649.93803169,4197848.68,PA,"Dynegy Fayette II, LLC",55516,PJM,NG,GAS,0.81649,644.1,8.383791336748951,2.0793984408223117e-06,2.5669577017721375e-05,0.3736794862342894,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
IL,"LSP University Park, LLC",55640,Will County,197.0,Electric Utility,6090.1,1.32,37.099000000000004,242342.14773459,435174.6099999999,IL,"LSP University Park, LLC",55640,PJM,NG,GAS,0.13339,726,8.388567493112948,3.0332651989967896e-06,8.52508375890772e-05,0.5568848507374776,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
OH,Miami Fort Power Station,2832,Hamilton County,61.0,Electric Utility,12235.0,10513.654,5943.614,6059100.94364415,7418542.5,OH,Miami Fort Power Station,2832,PJM,BIT,COAL,0.53478,1444,8.472991689750693,0.0014172128824496187,0.0008011835208870205,0.8167508568757476,0.0007810550799148578,0.0015627721477698457,0.9478297102068426
OH,"Dynegy Hanging Rock II, LLC",55736,Lawrence County,87.0,Electric Utility,11000.0,16.93,241.47600000000003,3042364.316611845,8217298.76,OH,"Dynegy Hanging Rock II, LLC",55736,PJM,NG,GAS,0.86108,1288.2,8.539046731873933,2.0602877532470295e-06,2.9386299202780847e-05,0.37023898065157423,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
WV,Mitchell (WV),3948,Marshall County,51.0,Electric Utility,14040.0,3236.071,3485.0969999999998,7472678.110220955,8327451.49,WV,Mitchell (WV),3948,PJM,BIT,COAL,0.53727,1632.6,8.599779492833518,0.00038860280409751144,0.00041850703113492405,0.8973547452296182,0.0007810550799148578,0.0015627721477698457,0.9478297102068426
OH,Avon Lake Power Plant,2836,Lorain County,93.0,Electric Utility,7565.0,1929.8059999999998,922.755,501983.9387517751,593999.84,OH,Avon Lake Power Plant,2836,PJM,BIT,COAL,0.14437,870,8.695402298850574,0.0032488325249380536,0.001553460014400004,0.8450910336133678,0.0007810550799148578,0.0015627721477698457,0.9478297102068426
NJ,"Camden Plant Holding, LLC",10751,Camden County,7.0,Cogeneration,1369.0,0.12,8.575,21639.097412775,42531.39,NJ,"Camden Plant Holding, LLC",10751,PJM,NG,GAS,0.20561,157,8.719745222929935,2.821445525293201e-06,0.0002016157948282433,0.5087794547221476,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
NJ,Mercer Generating Station,2408,Mercer County,21.0,Electric Utility,6700.0,0.0,0.0,0.0,0.0,NJ,Mercer Generating Station,2408,PJM,BIT,COAL,0.00028,768,8.723958333333334,0.0015627721477698457,0.0007810550799148578,0.9478297102068426,0.0007810550799148578,0.0015627721477698457,0.9478297102068426
VA,Bear Garden Generating Station,56807,Buckingham County,29.0,Electric Utility,4900.0,6.884,83.125,1237002.2953447353,3274964.54,VA,Bear Garden Generating Station,56807,PJM,NG,GAS,0.73811,559,8.765652951699463,2.1020074922704356e-06,2.5381954211937817e-05,0.37771471423160363,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
OH,Cardinal,2828,Jefferson County,81.0,Electric Utility,16525.0,11257.11,3884.1110000000003,9937810.55952351,11293314.77,OH,Cardinal,2828,PJM,BIT,COAL,0.55736,1880.4,8.788023824718145,0.0009967941414246086,0.00034393011078712724,0.8799728655330405,0.0007810550799148578,0.0015627721477698457,0.9478297102068426
