State,Facility Name,Facility ID (ORISPL),County,FIPS Code,Source Category,Max Hourly HI Rate (MMBtu/hr),SO2 (tons),NOx (tons),CO2 (tons),Gross Load (MW-h),Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Balancing Authority Code,Plant primary fuel,Plant primary coal/oil/gas/ other fossil fuel category,Plant capacity factor,Plant nameplate capacity (MW),Heat rate (MMBtu/MWh),SO2 emissions rate (tons/MWh),NOx emissions rate (tons/MWh),CO2 emissions rate (tons/MWh),Average NOx emissions rate by fuel,Average SO2 emissions rate by fuel,Average CO2 emissions rate by fuel
NJ,Burlington Generating Station,2399,Burlington County,5.0,Electric Utility,1852.0,0.059,9.323,9076.306999905,15133.8,NJ,Burlington Generating Station,2399,PJM,NG,GAS,0.00915,819,2.2612942612942613,3.8985581942407064e-06,0.0006160382719475611,0.599737475049558,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
KY,Big Sandy,1353,Lawrence County,127.0,Electric Utility,2512.0,15.037,493.69199999999995,314827.376823615,592848.81,KY,Big Sandy,1353,PJM,NG,GAS,0.05518,1096.8,2.290299051787017,2.5363970959138806e-05,0.0008327451985608268,0.5310415935955324,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
PA,Portland,3113,Northampton County,95.0,Electric Utility,1950.0,0.032,3.486,227.01760314000003,246.37,PA,Portland,3113,PJM,NG,GAS,0.00029,621,3.140096618357488,0.00012988594390550798,0.014149450014206276,0.9214498645939035,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
PA,York Energy Center,55524,York County,133.0,Electric Utility,4950.0,3.8150000000000004,44.369,685691.5003368,1052354.3900000001,PA,York Energy Center,55524,PJM,NG,GAS,0.11292,1569.4,3.1540716197272842,3.625204623320857e-06,4.2161652406847463e-05,0.6515785051619349,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
OH,Bay Shore,2878,Lucas County,95.0,Electric Utility,2175.0,2309.252,501.884,1363842.639525345,0.0,OH,Bay Shore,2878,PJM,PC,OIL,0.16524,665.3,3.269201863820833,0.0014798985163344898,0.0009560817743490034,0.8190664100628472,0.0009560817743490034,0.0014798985163344898,0.8190664100628472
NJ,Kearny Generating Station,2404,Hudson County,17.0,Electric Utility,4792.0,0.9590000000000001,42.26199999999999,137777.440022595,251428.93999999997,NJ,Kearny Generating Station,2404,PJM,NG,GAS,0.04464,1425.9,3.3606844799775577,3.814198954185625e-06,0.00016808725359936688,0.5479776513499003,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
NJ,B L England,2378,Cape May County,9.0,Electric Utility,3370.0,26.197,48.251999999999995,22659.157999215,24037.75,NJ,B L England,2378,PJM,BIT,COAL,0.01275,804.6,4.188416604523987,0.0010898274588927832,0.002007342617341473,0.9426488751740492,0.0007810550799148578,0.0015627721477698457,0.9478297102068426
NJ,Howard M Down,2434,Cumberland County,11.0,Electric Utility,610.0,0.327,9.339,58777.815238920004,114133.23,NJ,Howard M Down,2434,PJM,NG,GAS,0.11715,138.7,4.397981254506129,2.8650726874197815e-06,8.182542454988789e-05,0.5149930063218223,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
NJ,Cumberland Energy Center,5083,Cumberland County,11.0,Electric Utility,1150.0,0.382,5.915,68850.27577896,152399.87,NJ,Cumberland Energy Center,5083,PJM,NG,GAS,0.05726,231.2,4.974048442906574,2.5065638179350153e-06,3.881236906566915e-05,0.4517738484879285,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
NJ,Sewaren Generating Station,2411,Middlesex County,23.0,Electric Utility,6575.0,0.14,80.11599999999999,24410.92406955,36275.72,NJ,Sewaren Generating Station,2411,PJM,NG,GAS,0.00633,1284.4,5.11912176891934,3.859330703842681e-06,0.002208529561921858,0.6729273483627617,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
OH,Hamilton Municipal Power Plant,2917,Butler County,17.0,Electric Utility,729.0,0.0,0.0,0.0,0.0,OH,Hamilton Municipal Power Plant,2917,PJM,NG,GAS,0,138.1,5.278783490224475,1.7047813718651083e-05,0.0004419297282908058,0.5568526117635196,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
NJ,Hudson Generating Station,2403,Hudson County,17.0,Electric Utility,6600.0,0.778,10.382,12536.300610870001,19902.32,NJ,Hudson Generating Station,2403,PJM,BIT,COAL,0.02672,1229.6,5.367599219258296,3.90909200535415e-05,0.0005216477275011154,0.629891420239952,0.0007810550799148578,0.0015627721477698457,0.9478297102068426
VA,Clinch River,3775,Russell County,167.0,Electric Utility,3840.0,72.55199999999999,207.007,151903.57055256,245732.26,VA,Clinch River,3775,PJM,NG,GAS,0.04759,712.5,5.389473684210526,0.0002952481696949354,0.0008424087256593823,0.6181669861033305,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
MD,Perryman,1556,Harford County,25.0,Electric Utility,3166.2,2.107,41.817,132519.352217715,230586.57,MD,Perryman,1556,PJM,NG,GAS,0.1157,545.4,5.805280528052805,9.137565990942144e-06,0.0001813505443964061,0.5747054228601215,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
PA,PEI Power Corporation,50279,Lackawanna County,69.0,Electric Utility,540.0,0.24600000000000002,32.086,44221.018588275,82043.78,PA,PEI Power Corporation,50279,PJM,LFG,BIOMASS,0.22165,92.9,5.81270182992465,2.9983991473820444e-06,0.00039108388228821246,0.5389929448432897,0.00039108388228821246,2.9983991473820444e-06,0.5389929448432897
DE,Hay Road,7153,New Castle County,3.0,Electric Utility,7004.0,5.9510000000000005,218.338,1066175.78462865,1655359.96,DE,Hay Road,7153,PJM,NG,GAS,0.36895,1193,5.870913663034367,3.5949884881835614e-06,0.00013189759645992647,0.6440748902907196,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
PA,Ontelaunee Energy Center,55193,Berks County,11.0,Electric Utility,4320.0,8.921,101.487,1603137.14914761,4344231.970000001,PA,Ontelaunee Energy Center,55193,PJM,NG,GAS,0.65485,728,5.934065934065934,2.0535275421768047e-06,2.336132156405082e-05,0.3690265989980295,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
OH,Oregon Clean Energy Center,59764,Lucas County,95.0,Electric Utility,6474.8,5.455,52.074,980410.386815565,2765392.63,OH,Oregon Clean Energy Center,59764,PJM,NG,GAS,,1061.5,6.09967027790862,1.9725951175330933e-06,1.8830599110984108e-05,0.3545284587004794,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
IL,Zion Energy Center,55392,Lake County,97.0,Electric Utility,6150.0,1.518,87.257,270711.50914150506,466583.36,IL,Zion Energy Center,55392,PJM,NG,GAS,0.04999,994.5,6.184012066365008,3.2534379280049767e-06,0.00018701267014751663,0.5801996649462704,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
PA,Hazleton Generation,10870,Luzerne County,79.0,Cogeneration,1065.0,0.013000000000000001,1.749,2354.537886105,2959.27,PA,Hazleton Generation,10870,PJM,NG,GAS,0.00084,171.5,6.209912536443149,4.392975294582786e-06,0.0005910241377096379,0.7956482126014186,0.0004419297282908058,1.7047813718651083e-05,0.5568526117635196
