Hour,Day,Month,Year,System load (MW),ORIS ID,Fuel,Marginal Cost ($/MWh),CO2 emissions rate (tons/MWh),NOx emisisons rate (tons/MWh),SO2 emissions rate (tons/MWh)
15,3,1,2016,82552.102,7153,GAS,20.403736462699076,0.6440544854901353,0.0001609363273616112,3.5940801266570406e-06
16,3,1,2016,82904.921,10751,GAS,20.94349171974522,0.4905144513524575,0.0001495922532853357,2.7308651563102163e-06
17,3,1,2016,86648.549,50497,GAS,21.687745302713985,0.6785060168960944,0.0002232150506150836,3.7770461443098155e-06
18,3,1,2016,94055.123,55736,GAS,23.151296382549294,0.3753521558415532,3.432582323366101e-05,2.088704368196724e-06
19,3,1,2016,96827.765,3149,COAL,24.362913503218337,0.8240667038670754,0.0016858404003472019,0.0015974583665641778
20,3,1,2016,96758.552,3149,COAL,24.362913503218337,0.8240667038670754,0.0016858404003472019,0.0015974583665641778
21,3,1,2016,95735.283,54844,GAS,23.687603195739012,0.45358548279222416,0.00011562361579462716,2.9095107786080995e-06
22,3,1,2016,92611.919,55736,GAS,23.151296382549294,0.3753521558415532,3.432582323366101e-05,2.088704368196724e-06
23,3,1,2016,88557.757,2840,COAL,22.274674161357478,0.9498585507993426,0.0011964601995765765,0.0010026955717612614
24,3,1,2016,84112.133,8102,COAL,26.36915275325769,0.8743871015972867,0.00048622354127319986,0.0013287935788085493
1,4,1,2016,80971.986,3948,COAL,25.015164386285196,0.8756968910381868,0.00040708128675755683,0.0004340320836665558
2,4,1,2016,79572.803,2411,GAS,24.756267517907194,0.6492474959644478,0.0025271137968582865,3.6503960340650894e-06
3,4,1,2016,79473.887,2832,COAL,24.720077899126608,0.8204546871203815,0.000680106935606827,0.0013749046818091356
4,4,1,2016,80241.121,2411,GAS,24.756267517907194,0.6492474959644478,0.0025271137968582865,3.6503960340650894e-06
5,4,1,2016,82937.006,3948,COAL,25.015164386285196,0.8756968910381868,0.00040708128675755683,0.0004340320836665558
6,4,1,2016,88745.616,3140,COAL,25.49841123969902,0.8803133143567544,0.0017031805355596425,0.0015568331541498445
7,4,1,2016,97914.384,3797,COAL,26.090849173343553,0.8283966254236865,0.0002748295317499467,0.00027458494174628867
8,4,1,2016,103643.474,3136,COAL,27.13751928810926,0.8916391768606039,0.0012142722566074568,0.0020330581107828754
9,4,1,2016,103952.916,3136,COAL,27.13751928810926,0.8916391768606039,0.0012142722566074568,0.0020330581107828754
10,4,1,2016,103385.745,3136,COAL,27.13751928810926,0.8916391768606039,0.0012142722566074568,0.0020330581107828754
11,4,1,2016,102879.11,6019,COAL,27.039814124855127,0.8056003697084246,0.0009221439376164531,0.0016849567660211248
12,4,1,2016,102144.003,6019,COAL,27.039814124855127,0.8056003697084246,0.0009221439376164531,0.0016849567660211248
13,4,1,2016,101591.679,6264,COAL,26.41212021857925,0.8761628999668939,0.00046295415794401763,0.0006171167491034634
14,4,1,2016,101277.113,6264,COAL,26.41212021857925,0.8761628999668939,0.00046295415794401763,0.0006171167491034634
15,4,1,2016,101129.454,6264,COAL,26.41212021857925,0.8761628999668939,0.00046295415794401763,0.0006171167491034634
16,4,1,2016,102106.714,6019,COAL,27.039814124855127,0.8056003697084246,0.0009221439376164531,0.0016849567660211248
17,4,1,2016,105720.312,6094,COAL,27.627896283511106,0.8443146512304291,0.000715860000939111,0.0012780544325351128
18,4,1,2016,113401.517,1554,COAL,27.992600390799453,0.8899208102233288,0.0004239782538763469,0.005916411185272287
19,4,1,2016,116591.008,384,GAS,28.017454545454545,0.8585031805174396,0.0004654975571300528,0.0016262326443805067
20,4,1,2016,116222.736,384,GAS,28.017454545454545,0.8585031805174396,0.0004654975571300528,0.0016262326443805067
21,4,1,2016,115153.467,384,GAS,28.017454545454545,0.8585031805174396,0.0004654975571300528,0.0016262326443805067
22,4,1,2016,112091.829,1554,COAL,27.992600390799453,0.8899208102233288,0.0004239782538763469,0.005916411185272287
23,4,1,2016,106860.513,6094,COAL,27.627896283511106,0.8443146512304291,0.000715860000939111,0.0012780544325351128
24,4,1,2016,101777.129,3954,COAL,31.037741214617352,0.9067712019355294,0.0003584196623216729,0.0003539904651402318
1,5,1,2016,98215.629,3797,COAL,26.090849173343553,0.8283966254236865,0.0002748295317499467,0.00027458494174628867
2,5,1,2016,97340.961,3797,COAL,26.090849173343553,0.8283966254236865,0.0002748295317499467,0.00027458494174628867
3,5,1,2016,97230.152,3797,COAL,26.090849173343553,0.8283966254236865,0.0002748295317499467,0.00027458494174628867
4,5,1,2016,98068.684,3797,COAL,26.090849173343553,0.8283966254236865,0.0002748295317499467,0.00027458494174628867
5,5,1,2016,100909.126,8102,COAL,26.36915275325769,0.8743871015972867,0.00048622354127319986,0.0013287935788085493
6,5,1,2016,106786.733,3136,COAL,27.13751928810926,0.8916391768606039,0.0012142722566074568,0.0020330581107828754
7,5,1,2016,116073.959,6041,COAL,27.96063632580334,0.854842567992948,0.00035710988377033777,0.0004941104433684979
8,5,1,2016,121343.538,55198,GAS,28.23726086956522,0.5930720685184677,0.00032041786993403315,3.3030031887735385e-06
9,5,1,2016,120026.268,55198,GAS,28.23726086956522,0.5930720685184677,0.00032041786993403315,3.3030031887735385e-06
10,5,1,2016,116235.018,56808,COAL,27.995312653381777,0.9446109432776311,0.000883522736838472,0.001832558334326451
11,5,1,2016,113281.702,6041,COAL,27.96063632580334,0.854842567992948,0.00035710988377033777,0.0004941104433684979
12,5,1,2016,110248.073,1572,COAL,27.72773979582874,0.8322428302461496,0.0009946219394507327,0.0004346584926637931
13,5,1,2016,106937.396,3136,COAL,27.13751928810926,0.8916391768606039,0.0012142722566074568,0.0020330581107828754
14,5,1,2016,104724.289,384,GAS,27.10218181818182,0.8585031805174396,0.0004654975571300528,0.0016262326443805067
15,5,1,2016,102715.027,55640,GAS,26.880904958677686,0.5355709084563647,9.918588601160617e-05,2.912327264301394e-06
16,5,1,2016,102399.04,55640,GAS,26.880904958677686,0.5355709084563647,9.918588601160617e-05,2.912327264301394e-06
17,5,1,2016,105381.401,384,GAS,27.10218181818182,0.8585031805174396,0.0004654975571300528,0.0016262326443805067
18,5,1,2016,113518.643,55279,GAS,27.930352941176473,0.5396870398317457,0.0002677769305408177,3.003069548790011e-06
19,5,1,2016,117200.614,56808,COAL,27.995312653381777,0.9446109432776311,0.000883522736838472,0.001832558334326451
20,5,1,2016,117222.599,56808,COAL,27.995312653381777,0.9446109432776311,0.000883522736838472,0.001832558334326451
21,5,1,2016,116068.284,6041,COAL,27.96063632580334,0.854842567992948,0.00035710988377033777,0.0004941104433684979
22,5,1,2016,112704.954,1572,COAL,27.72773979582874,0.8322428302461496,0.0009946219394507327,0.0004346584926637931
23,5,1,2016,107266.956,3136,COAL,27.13751928810926,0.8916391768606039,0.0012142722566074568,0.0020330581107828754
24,5,1,2016,102241.353,3944,COAL,30.840766957999143,0.8695868544463553,0.0008595363638390895,0.0006127530621345196
1,6,1,2016,98941.688,3797,COAL,26.090849173343553,0.8283966254236865,0.0002748295317499467,0.00027458494174628867
2,6,1,2016,97606.781,3775,GAS,25.905263157894737,0.5897840302636416,0.0006651996356597916,0.0002819452165131475
3,6,1,2016,97404.69,3775,GAS,25.905263157894737,0.5897840302636416,0.0006651996356597916,0.0002819452165131475
4,6,1,2016,98079.742,3797,COAL,26.090849173343553,0.8283966254236865,0.0002748295317499467,0.00027458494174628867
5,6,1,2016,100582.565,8102,COAL,26.36915275325769,0.8743871015972867,0.00048622354127319986,0.0013287935788085493
6,6,1,2016,106142.928,3136,COAL,27.13751928810926,0.8916391768606039,0.0012142722566074568,0.0020330581107828754
7,6,1,2016,115184.16,6041,COAL,27.96063632580334,0.854842567992948,0.00035710988377033777,0.0004941104433684979
8,6,1,2016,119995.418,3809,COAL,28.203684633810244,0.8386280591487245,0.0020231640144773937,0.00669977969099865
9,6,1,2016,117698.379,876,COAL,28.009365432497727,0.9599667204982391,0.00031222354889804733,0.000450405103822119
10,6,1,2016,112788.754,6041,COAL,27.96063632580334,0.854842567992948,0.00035710988377033777,0.0004941104433684979
11,6,1,2016,108057.902,6094,COAL,27.627896283511106,0.8443146512304291,0.000715860000939111,0.0012780544325351128
12,6,1,2016,104141.808,3136,COAL,27.13751928810926,0.8916391768606039,0.0012142722566074568,0.0020330581107828754
13,6,1,2016,100751.785,6264,COAL,26.41212021857925,0.8761628999668939,0.00046295415794401763,0.0006171167491034634
14,6,1,2016,98417.616,8102,COAL,26.36915275325769,0.8743871015972867,0.00048622354127319986,0.0013287935788085493
15,6,1,2016,96710.198,3797,COAL,26.090849173343553,0.8283966254236865,0.0002748295317499467,0.00027458494174628867
16,6,1,2016,96469.524,3797,COAL,26.090849173343553,0.8283966254236865,0.0002748295317499467,0.00027458494174628867
17,6,1,2016,99179.116,8102,COAL,26.36915275325769,0.8743871015972867,0.00048622354127319986,0.0013287935788085493
18,6,1,2016,106745.335,55640,GAS,27.300333333333334,0.5355709084563647,9.918588601160617e-05,2.912327264301394e-06
19,6,1,2016,109958.665,6094,COAL,27.627896283511106,0.8443146512304291,0.000715860000939111,0.0012780544325351128
20,6,1,2016,109605.8,6094,COAL,27.627896283511106,0.8443146512304291,0.000715860000939111,0.0012780544325351128
21,6,1,2016,108218.797,384,GAS,27.610666666666667,0.8585031805174396,0.0004654975571300528,0.0016262326443805067
22,6,1,2016,104540.672,6019,COAL,27.039814124855127,0.8056003697084246,0.0009221439376164531,0.0016849567660211248
