,Facility Name,Fuel,Fuel Cost ($/MMBtu),Gas price,Gas_Hubs,Heat rate (MMBtu/MWh),Marginal Cost ($/MWh),ORIS,Plant nameplate capacity (MW),State,Unit Group,VOM ($/MWh),Running Capacity (MW)
60,"Camden Plant Holding, LLC",GAS,1.1,1.1,Transco Zone 6 Non NY,8.719745222929935,12.59171974522293,10751,157,NJ,Combined cycle,3.0,70531.99999999999
61,"Bayonne Plant Holding, LLC",GAS,1.1,1.1,Transco Zone 6 Non NY,9.08141962421712,12.989561586638832,50497,191.6,NJ,Combined cycle,3.0,70723.59999999999
62,Gilbert Generating Station,GAS,1.1,1.1,Transco Zone 6 Non NY,9.161184210526315,13.077302631578947,2393,608,NJ,Combined cycle,3.0,71331.59999999999
63,Newark Bay Cogen,GAS,1.1,1.1,Transco Zone 6 Non NY,9.20863309352518,13.129496402877699,50385,139,NJ,Combined cycle,3.0,71470.59999999999
64,Perryman,GAS,1.1,1.1,Transco Zone 6 Non NY,5.804913824715805,13.385405207187386,1556,545.4,MD,Combustion turbine,7.0,72015.99999999999
65,"EFS Parlin Holdings, LLC",GAS,1.1,1.1,Transco Zone 6 Non NY,9.718518518518518,13.69037037037037,50799,135,NJ,Combined cycle,3.0,72150.99999999999
66,Pedricktown Cogeneration Plant,GAS,1.1,1.1,Transco Zone 6 Non NY,9.851301115241636,13.8364312267658,10099,134.5,NJ,Combined cycle,3.0,72285.49999999999
67,Lakewood,GAS,1.1,1.1,Transco Zone 6 Non NY,10.050675675675675,14.055743243243244,54640,236.8,NJ,Combined cycle,3.0,72522.29999999999
68,Gordonsville Power Station,GAS,1.1,1.1,Transco Zone 6 Non NY,10.053262316910786,14.058588548601865,54844,300.4,VA,Combined cycle,3.0,72822.69999999998
69,B L England,COAL,2.2243108108108114,1.1,Transco Zone 6 Non NY,4.188416604523987,14.316340333622215,2378,804.6,NJ,Coal boiler,5.0,73627.29999999999
70,Bremo Power Station,GAS,1.1,1.1,Transco Zone 6 Non NY,10.405192761605036,14.44571203776554,3796,254.2,VA,Coal boiler,3.0,73881.49999999999
71,Ocean Peaking Power,GAS,1.1,1.1,Transco Zone 6 Non NY,6.819843342036553,14.50182767624021,55938,574.5,NJ,Combustion turbine,7.0,74455.99999999999
72,Gould Street,GAS,1.1,1.1,Transco Zone 6 Non NY,10.483091787439614,14.531400966183575,1553,103.5,MD,Coal boiler,3.0,74559.49999999999
73,Chalk Point,GAS,1.1,1.1,Transco Zone 6 Non NY,11.176803928976199,15.294484321873819,1571,2647,MD,Coal boiler,3.0,77206.49999999999
74,Clayville,GAS,1.1,1.1,Transco Zone 6 Non NY,8.219178082191782,16.04109589041096,58235,73,NJ,Combustion turbine,7.0,77279.49999999999
75,Cromby,COAL,2.2243108108108114,0.2,Dominion South Point,5.031413612565445,16.19142769209,3159,420.2,PA,,5.0,77699.69999999998
76,Hudson Generating Station,COAL,2.2243108108108114,1.1,Transco Zone 6 Non NY,5.367599219258296,16.9392089714959,2403,1229.6,NJ,Coal boiler,5.0,78929.29999999999
77,Wolf Hills Energy,GAS,1.1,1.1,Transco Zone 6 Non NY,9.12280701754386,17.035087719298247,55285,285,VA,Combustion turbine,7.0,79214.29999999999
78,Eagle Point Power Generation,GAS,1.1,1.1,Transco Zone 6 Non NY,12.911040508339951,17.202144559173945,50561,251.8,NJ,Combined cycle,3.0,79466.09999999999
79,Hamilton Municipal Power Plant,GAS,2.6923,2.6923,Lebanon,5.278783490224475,17.21206879073135,2917,138.1,OH,Coal boiler,3.0,79604.2
80,Marsh Run Generation Facility,GAS,1.1,1.1,Transco Zone 6 Non NY,10.15801354401806,18.173814898419867,7836,708.8,VA,Combustion turbine,7.0,80313.0
81,Buchanan Units 1 & 2,GAS,1.1,1.1,Transco Zone 6 Non NY,10.204545454545455,18.225,55738,88,VA,Combustion turbine,7.0,80401.0
82,Rock Springs Generating Facility,GAS,1.1,1.1,Transco Zone 6 Non NY,10.341261633919338,18.375387797311273,7835,773.6,MD,Combustion turbine,7.0,81174.6
83,PEI Power Corporation,,2.0,0.2,Dominion South Point,5.81270182992465,18.625403659849297,50279,92.9,PA,Combustion turbine,7.0,81267.5
84,Indian River,COAL,2.2243108108108114,0.32,Transco Zone 6 NY,6.331302076856113,19.082783656059995,594,804.1,DE,Coal boiler,5.0,82071.6
85,Ladysmith Combustion Turbine Sta,GAS,1.1,1.1,Transco Zone 6 Non NY,11.92717086834734,20.119887955182072,7839,892.5,VA,Combustion turbine,7.0,82964.1
86,Remington Combustion Turbine Station,GAS,1.1,1.1,Transco Zone 6 Non NY,11.963146704464918,20.15946137491141,7838,705.5,VA,Combustion turbine,7.0,83669.6
87,Elizabeth River Combustion Turbine Sta,GAS,1.1,1.1,Transco Zone 6 Non NY,11.983024691358024,20.18132716049383,52087,388.8,VA,Combustion turbine,7.0,84058.40000000001
88,Rosemary Power Station,GAS,1.8908,1.8908,Transco Zone 5,9.316666666666666,20.615953333333334,50555,180,NC,Combined cycle,3.0,84238.40000000001
89,Dresden Energy Facility,GAS,2.6923,2.6923,Lebanon,6.6342326404245915,20.86134453781513,55350,678.3,OH,Combined cycle,3.0,84916.70000000001
90,Conesville,COAL,2.2243108108108114,2.6923,Lebanon,7.4222917049843655,21.509483680388133,2840,2174.8,OH,Coal boiler,5.0,87091.50000000001
91,Cordova Energy Company,GAS,2.64,2.64,Chicago City Gate,7.042539267015706,21.592303664921467,55188,611.2,IL,Combined cycle,3.0,87702.70000000001
92,Seward,COAL,2.2243108108108114,0.2,Dominion South Point,7.918326693227091,22.612819667276842,3130,803.2,PA,Coal boiler,5.0,88505.90000000001
93,Lawrenceburg Energy Facility,GAS,2.6923,2.6923,Lebanon,7.305194805194805,22.667775974025975,55502,1232,IN,Combined cycle,3.0,89737.90000000001
94,"Dynegy Washington II, LLC",GAS,2.6923,2.6923,Lebanon,7.343684431389006,22.77140159462862,55397,714.9,OH,Combined cycle,3.0,90452.8
95,Zion Energy Center,GAS,2.64,2.64,Chicago City Gate,6.184012066365008,23.325791855203622,55392,994.5,IL,Combustion turbine,7.0,91447.3
96,Louisa Generation Facility,GAS,1.1,1.1,Transco Zone 6 Non NY,14.928304851699076,23.421135336868986,7837,509.1,VA,Combustion turbine,7.0,91956.40000000001
97,"Montour, LLC",COAL,2.2243108108108114,0.2,Dominion South Point,8.319531294011606,23.505223398148875,3149,1775.1,PA,Coal boiler,5.0,93731.50000000001
98,Morgantown,COAL,2.2243108108108114,1.1,Transco Zone 6 Non NY,8.352713178294573,23.57903022208255,1573,1548,MD,Coal boiler,5.0,95279.50000000001
99,Miami Fort Power Station,COAL,2.2243108108108114,2.6923,Lebanon,8.472991689750693,23.84656701542263,2832,1444,OH,Coal boiler,5.0,96723.50000000001
100,Kendall Energy Facility,GAS,2.64,2.64,Chicago City Gate,7.961783439490445,24.019108280254777,55131,1256,IL,Combined cycle,3.0,97979.50000000001
101,Waterford Plant,GAS,2.6923,2.6923,Lebanon,7.819010416666666,24.051121744791665,55503,921.6,OH,Combined cycle,3.0,98901.10000000002
102,Mitchell (WV),COAL,2.2243108108108114,2.59,Columbia Gas,8.599779492833518,24.128582496498712,3948,1632.6,WV,Coal boiler,5.0,100533.70000000003
103,Nelson Energy Center,GAS,2.64,2.64,Chicago City Gate,8.019123505976095,24.17048605577689,55183,627.5,IL,Combined cycle,3.0,101161.20000000003
104,Fremont Energy Center,GAS,2.6923,2.6923,Lebanon,7.870182555780933,24.188892494929007,55701,739.5,OH,Combined cycle,3.0,101900.70000000003
105,Avon Lake Power Plant,COAL,2.2243108108108114,2.6923,Lebanon,8.695402298850574,24.341277337682513,2836,870,OH,Coal boiler,5.0,102770.70000000003
106,Mercer Generating Station,COAL,2.2243108108108114,1.1,Transco Zone 6 Non NY,8.723958333333334,24.404794833896403,2408,768,NJ,Coal boiler,5.0,103538.70000000003
107,Cardinal,COAL,2.2243108108108114,2.6923,Lebanon,8.788023824718145,24.547296398983544,2828,1880.4,OH,Coal boiler,5.0,105419.10000000002
108,"Brunner Island, LLC",COAL,2.2243108108108114,0.2,Dominion South Point,8.807412880187169,24.590423684674704,3140,1624.2,PA,Coal boiler,5.0,107043.30000000002
109,John E Amos,COAL,2.2243108108108114,2.59,Columbia Gas,8.845393166473437,24.67490364605894,3935,2932.6,WV,Coal boiler,5.0,109975.90000000002
110,Will County,COAL,2.2243108108108114,2.64,Chicago City Gate,8.877679697351828,24.746718925735323,884,1268.8,IL,Coal boiler,5.0,111244.70000000003
111,Kanawha River,COAL,2.2243108108108114,2.59,Columbia Gas,8.879781420765028,24.751393811844636,3936,439.2,WV,Coal boiler,5.0,111683.90000000002
112,Longview Power,COAL,2.2243108108108114,2.59,Columbia Gas,8.91640866873065,24.83286419546482,56671,807.5,WV,Coal boiler,5.0,112491.40000000002
113,William C. Dale,COAL,2.2243108108108114,2.6923,Lebanon,8.930555555555555,24.864331268768773,1385,216,KY,Coal boiler,5.0,112707.40000000002
114,Joliet 9,GAS,2.64,2.64,Chicago City Gate,8.351063829787234,25.0468085106383,874,507.6,IL,Coal boiler,3.0,113215.00000000003
115,Chesterfield Power Station,COAL,2.2243108108108114,1.1,Transco Zone 6 Non NY,9.06196165601556,25.156619278628455,3797,1799.5,VA,Coal boiler,5.0,115014.50000000003
116,Gen J M Gavin,COAL,2.2243108108108114,2.6923,Lebanon,9.181538461538462,25.422595259875266,8102,2600,OH,Coal boiler,5.0,117614.50000000003
117,Mountaineer (1301),COAL,2.2243108108108114,2.59,Columbia Gas,9.2,25.463659459459464,6264,1300,WV,Coal boiler,5.0,118914.50000000003
118,"Dynegy Hanging Rock II, LLC",GAS,2.6923,2.6923,Lebanon,8.539046731873933,25.98967551622419,55736,1288.2,OH,Combined cycle,3.0,120202.70000000003
119,W H Zimmer Generating Station,COAL,2.2243108108108114,2.6923,Lebanon,9.46969696969697,26.063549344799352,6019,1425.6,OH,Coal boiler,5.0,121628.30000000003
120,Keystone,COAL,2.2243108108108114,0.2,Dominion South Point,9.511677282377919,26.156926608136803,3136,1884,PA,Coal boiler,5.0,123512.30000000003
121,Bruce Mansfield,COAL,2.2243108108108114,0.2,Dominion South Point,9.722374229323995,26.625582105033793,6094,2741.1,PA,Coal boiler,5.0,126253.40000000004
122,Dickerson,COAL,2.2243108108108114,1.1,Transco Zone 6 Non NY,9.765273311897106,26.72100299817503,1572,933,MD,Coal boiler,5.0,127186.40000000004
123,Cheswick,COAL,2.2243108108108114,0.2,Dominion South Point,9.811616954474097,26.82408566337138,8226,637,PA,Coal boiler,5.0,127823.40000000004
124,H L Spurlock,COAL,2.2243108108108114,2.6923,Lebanon,9.865340379235311,26.943583257861533,6041,1608.5,KY,Coal boiler,5.0,129431.90000000004
125,Herbert A Wagner,COAL,2.2243108108108114,1.1,Transco Zone 6 Non NY,9.879074161549362,26.974131458335997,1554,1058.5,MD,Coal boiler,5.0,130490.40000000004
126,Virginia City Hybrid Energy Center,COAL,2.2243108108108114,1.1,Transco Zone 6 Non NY,9.880239520958083,26.976723579867297,56808,668,VA,Coal boiler,5.0,131158.40000000002
127,Kincaid Generating Station,COAL,2.2243108108108114,2.64,Chicago City Gate,9.886277482941622,26.990153883982547,876,1319,IL,Coal boiler,5.0,132477.40000000002
128,Altavista Power Station,,2.0,1.1,Transco Zone 6 Non NY,11.082981715893109,27.165963431786217,10773,71.1,VA,Coal boiler,5.0,132548.50000000003
129,Yorktown Power Station,COAL,2.2243108108108114,1.1,Transco Zone 6 Non NY,9.969769291964996,27.17586561740739,3809,1257,VA,Coal boiler,5.0,133805.50000000003
130,Waukegan,COAL,2.2243108108108114,2.64,Chicago City Gate,10.042636930141029,27.33794589276059,883,914.7,IL,Coal boiler,5.0,134720.20000000004
131,Smith Generating Facility,GAS,2.6923,2.6923,Lebanon,7.566430203198268,27.371100036070697,54,1663.4,KY,Combustion turbine,7.0,136383.60000000003
132,Conemaugh,COAL,2.2243108108108114,0.2,Dominion South Point,10.066348195329088,27.39068711625639,3118,1884,PA,Coal boiler,5.0,138267.60000000003
133,Southampton Power Station,,2.0,1.1,Transco Zone 6 Non NY,11.251758087201127,27.503516174402254,10774,71.1,VA,Coal boiler,5.0,138338.70000000004
134,Killen Station,COAL,2.2243108108108114,2.6923,Lebanon,10.13491948353402,27.543210973921845,6031,689.3,OH,Coal boiler,5.0,139028.00000000003
135,East Bend,COAL,2.2243108108108114,2.6923,Lebanon,10.215025906735752,27.721392557064846,6018,772,KY,Coal boiler,5.0,139800.00000000003
136,Rockport,COAL,2.2243108108108114,2.6923,Lebanon,10.307692307692308,27.92751143451144,6166,2600,IN,Coal boiler,5.0,142400.00000000003
137,Homer City,COAL,2.2243108108108114,0.2,Dominion South Point,10.359840954274354,28.04350623287304,3122,2012,PA,Coal boiler,5.0,144412.00000000003
138,Hopewell Power Station,,2.0,1.1,Transco Zone 6 Non NY,11.533052039381154,28.066104078762308,10771,71.1,VA,Coal boiler,5.0,144483.10000000003
139,W H Sammis,COAL,2.2243108108108114,2.6923,Lebanon,10.47242818362303,28.293935224272534,2866,2468.1,OH,Coal boiler,5.0,146951.20000000004
140,J M Stuart,COAL,2.2243108108108114,2.6923,Lebanon,10.684083863599282,28.764723241413225,2850,2451.6,OH,Coal boiler,5.0,149402.80000000005
141,"LSP University Park, LLC",GAS,2.64,2.64,Chicago City Gate,8.388567493112948,29.145818181818182,55640,726,IL,Combustion turbine,7.0,150128.80000000005
142,Fort Martin Power Station,COAL,2.2243108108108114,2.59,Columbia Gas,10.984375,29.432664062500006,3943,1152,WV,Coal boiler,5.0,151280.80000000005
143,John S. Cooper,COAL,2.2243108108108114,2.6923,Lebanon,11.043604651162791,29.564409215901957,1384,344,KY,Coal boiler,5.0,151624.80000000005
144,Harrison Power Station,COAL,2.2243108108108114,2.59,Columbia Gas,11.102826510721247,29.69613703835415,3944,2052,WV,Coal boiler,5.0,153676.80000000005
145,Joliet 29,GAS,2.64,2.64,Chicago City Gate,10.16969696969697,29.848000000000003,384,1320,IL,Coal boiler,3.0,154996.80000000005
146,Mount Storm Power Station,COAL,2.2243108108108114,2.59,Columbia Gas,11.187459099292045,29.884386220059078,3954,1680.9,WV,Coal boiler,5.0,156677.70000000004
147,Aurora,GAS,2.64,2.64,Chicago City Gate,8.831372549019608,30.31482352941177,55279,1275,IL,Combustion turbine,7.0,157952.70000000004
148,Northampton Generating Plant,COAL,2.2243108108108114,0.2,Dominion South Point,11.409395973154362,30.378042807908585,50888,134.1,PA,Coal boiler,5.0,158086.80000000005
149,Brandon Shores,COAL,2.2243108108108114,1.1,Transco Zone 6 Non NY,11.678832116788321,30.977352535016774,602,1370,MD,Coal boiler,5.0,159456.80000000005
150,Gilberton Power Company,COAL,2.2243108108108114,0.2,Dominion South Point,11.76470588235294,31.16836248012719,10113,88.4,PA,Coal boiler,5.0,159545.20000000004
151,Southeast Chicago Energy Project,GAS,2.64,2.64,Chicago City Gate,9.174852652259332,31.22161100196464,55281,407.2,IL,Combustion turbine,7.0,159952.40000000005
152,Powerton,COAL,2.2243108108108114,2.64,Chicago City Gate,11.870519713261649,31.40372532815074,879,1785.6,IL,Coal boiler,5.0,161738.00000000006
153,C P Crane,COAL,2.2243108108108114,1.1,Transco Zone 6 Non NY,12.025012025012025,31.747364247364253,1552,415.8,MD,Coal boiler,5.0,162153.80000000005
154,Riverside Generating Company,GAS,2.6923,2.6923,Lebanon,9.273913043478261,31.968156086956522,55198,1150,KY,Combustion turbine,7.0,163303.80000000005
155,Clover Power Station,COAL,2.2243108108108114,1.1,Transco Zone 6 Non NY,12.14622641509434,32.01698272565019,7213,848,VA,Coal boiler,5.0,164151.80000000005
156,Whitewater Valley,COAL,2.2243108108108114,2.6923,Lebanon,12.289669861554845,32.33604553435225,1040,93.9,IN,Coal boiler,5.0,164245.70000000004
157,Pleasants Power Station,COAL,2.2243108108108114,2.59,Columbia Gas,12.320906432748538,32.40552537735104,6004,1368,WV,Coal boiler,5.0,165613.70000000004
158,Bay Shore,OIL,10.0,2.6923,Lebanon,3.269201863820833,32.69201863820833,2878,665.3,OH,Coal boiler,0.0,166279.00000000003
159,Northeastern Power Company,COAL,2.2243108108108114,0.2,Dominion South Point,12.711864406779661,33.27513742556116,50039,59,PA,Coal boiler,5.0,166338.00000000003
160,Big Sandy Peaker Plant,GAS,2.59,2.59,Columbia Gas,10.186757215619695,33.38370118845501,55284,353.4,WV,Combustion turbine,7.0,166691.40000000002
161,Robert P Mone,GAS,2.6923,2.6923,Lebanon,9.829797979797979,33.4647651010101,7872,594,OH,Combustion turbine,7.0,167285.40000000002
162,University Park Energy,GAS,2.64,2.64,Chicago City Gate,10.186757215619695,33.893039049235995,55250,353.4,IL,Combustion turbine,7.0,167638.80000000002
163,Rockford II Energy Center,GAS,2.64,2.64,Chicago City Gate,10.249404761904762,34.05842857142857,55936,168,IL,Combustion turbine,7.0,167806.80000000002
164,St. Nicholas Cogeneration Project,COAL,2.2243108108108114,0.2,Dominion South Point,13.104838709677418,34.14923441586748,54634,99.2,PA,Coal boiler,5.0,167906.00000000003
165,Mt. Carmel Cogeneration,COAL,2.2243108108108114,0.2,Dominion South Point,13.192389006342495,34.343973487229306,10343,47.3,PA,Coal boiler,5.0,167953.30000000002
166,AMP-Ohio Gas Turbines Galion,GAS,2.6923,2.6923,Lebanon,10.242424242424242,34.575678787878786,55263,49.5,OH,Combustion turbine,7.0,168002.80000000002
167,AMP-Ohio Gas Turbines Bowling Green,GAS,2.6923,2.6923,Lebanon,10.242424242424242,34.575678787878786,55262,49.5,OH,Combustion turbine,7.0,168052.30000000002
168,AMP-Ohio Gas Turbines Napoleon,GAS,2.6923,2.6923,Lebanon,10.242424242424242,34.575678787878786,55264,49.5,OH,Combustion turbine,7.0,168101.80000000002
169,Elwood Energy Facility,GAS,2.64,2.64,Chicago City Gate,10.795717592592593,35.50069444444445,55199,1728,IL,Combustion turbine,7.0,169829.80000000002
170,Rockford Energy Center,GAS,2.64,2.64,Chicago City Gate,10.825316455696203,35.578835443037974,55238,316,IL,Combustion turbine,7.0,170145.80000000002
171,"Elgin Energy Center, LLC",GAS,2.64,2.64,Chicago City Gate,10.903703703703703,35.78577777777778,55438,540,IL,Combustion turbine,7.0,170685.80000000002
172,Cambria Cogen,COAL,2.2243108108108114,0.2,Dominion South Point,13.877551020408163,35.86798676227248,10641,98,PA,Coal boiler,5.0,170783.80000000002
